Top 20 Conditions by Cost per Claim,,,,Top 20 Conditions by Claim Volume,
,,,,,
Row Labels,Average of Cost per Claim,,,Row Labels,Sum of Claims
Stroke,"$70,714.94",,,Chronic kidney disease stage 4 (disorder),"9,573,530"
Acute renal failure on dialysis (disorder),"$39,486.12",,,Gingivitis (disorder),"5,533,886"
Postoperative myocardial infarction (disorder),"$38,462.85",,,End-stage renal disease (disorder),"2,190,039"
Postoperative renal failure (disorder),"$37,410.18",,,Normal pregnancy,"1,988,559"
Polyp of colon,"$20,049.88",,,Dependent drug abuse (disorder),"1,424,098"
Anticoagulant-induced bleeding (disorder),"$17,146.17",,,Hyperlipidemia,"996,227"
Acute respiratory insufficiency (disorder),"$15,785.83",,,COVID-19,"858,460"
Normal pregnancy,"$14,550.05",,,Allergy to substance (finding),"842,950"
Pulmonary emphysema (disorder),"$12,179.92",,,Viral sinusitis (disorder),"752,414"
Chronic obstructive bronchitis (disorder),"$11,961.04",,,Acute bronchitis (disorder),"637,961"
Sepsis (disorder),"$11,292.56",,,Non-small cell carcinoma of lung  TNM stage 1 (disorder),"609,881"
Allergy to substance (finding),"$10,245.40",,,Chronic congestive heart failure (disorder),"508,486"
Rupture of patellar tendon,"$9,407.90",,,Ischemic heart disease (disorder),"383,463"
Injury of medial collateral ligament of knee,"$9,339.66",,,Essential hypertension (disorder),"381,925"
Child attention deficit disorder,"$9,284.66",,,Acute viral pharyngitis (disorder),"368,489"
Injury of anterior cruciate ligament,"$9,147.81",,,Malignant neoplasm of breast (disorder),"349,988"
Primary malignant neoplasm of colon,"$8,418.74",,,Primary dental caries (disorder),"281,343"
Small cell carcinoma of lung (disorder),"$7,911.30",,,Otitis media,"279,291"
Non-small cell lung cancer (disorder),"$7,686.75",,,Gingival disease (disorder),"254,407"
Overlapping malignant neoplasm of colon,"$6,855.27",,,Chronic pain (finding),"242,473"
Grand Total,"$18,366.85",,,Grand Total,"28,457,870"
,,,,,
,,,,,
Top 20 Conditions by Total Billed,,,,,
,,,,,
Row Labels,Sum of Total Billed,,,,
Normal pregnancy,"$28,933,632,566",,,,
Allergy to substance (finding),"$8,636,357,451",,,,
Gingivitis (disorder),"$8,533,540,681",,,,
Chronic kidney disease stage 4 (disorder),"$4,391,639,551",,,,
Non-small cell carcinoma of lung  TNM stage 1 (disorder),"$3,376,088,860",,,,
Polyp of colon,"$1,313,207,268",,,,
Malignant neoplasm of breast (disorder),"$1,094,711,018",,,,
End-stage renal disease (disorder),"$1,004,387,437",,,,
Gingival disease (disorder),"$942,134,264",,,,
COVID-19,"$938,324,734",,,,
Laceration - injury (disorder),"$831,319,863",,,,
Abnormal findings diagnostic imaging heart+coronary circulat (finding),"$793,695,625",,,,
Primary small cell malignant neoplasm of lung  TNM stage 1 (disorder),"$769,007,334",,,,
Primary dental caries (disorder),"$757,131,664",,,,
Child attention deficit disorder,"$752,948,402",,,,
Ischemic heart disease (disorder),"$726,643,399",,,,
Dependent drug abuse (disorder),"$622,280,745",,,,
Acute bronchitis (disorder),"$587,268,604",,,,
Stroke,"$529,442,722",,,,
Acute infective cystitis (disorder),"$451,842,221",,,,
Grand Total,"$65,985,604,408",,,,
