TYPE,TRANSFERTYPE,METHOD,NUM_ROWS,ROWS_WITH_AMOUNT,SUM_AMOUNT,SUM_PAYMENTS,SUM_TRANSFERS
CHARGE,1,,258056425,258056425,146507689568.43,0.00,
PAYMENT,,ECHECK,235569633,0,,129482021013.55,
TRANSFEROUT,,,121782606,0,,0.00,23387041106.20
TRANSFERIN,p,,67110635,67110635,15827042338.56,0.00,15827042338.56
TRANSFERIN,2,,54671972,54671972,7559998841.37,0.00,7559998841.37
PAYMENT,,COPAY,33509129,0,,1198628224.13,
PAYMENT,,CHECK,30069898,0,,10059806264.87,
PAYMENT,,CC,30053237,0,,10044341821.99,
PAYMENT,,CASH,30042261,0,,10076098116.39,
CHARGE,p,,26107649,26107649,14353204681.09,0.00,
CHARGE,,,3,3,646.96,,
TRANSFERIN,,,1,1,0.15,,
