Condition Code,Condition Name,Code Category,Payer Name,Payer Type,Total Billed,Total Paid,Avg Cost per Claim,% Borne by Patient,Number of Claims
72892002,Normal pregnancy,Condition,Medicaid,Government,"$9,029,053,030","$9,029,053,030","$13,595",0.4%,"664,164"
72892002,Normal pregnancy,Condition,Humana,Commercial,"$3,963,814,568","$3,963,814,568","$15,155",17.3%,"261,558"
72892002,Normal pregnancy,Condition,NO_INSURANCE,Self-Pay / Uninsured,"$2,594,781,261","$2,594,781,261","$14,289",100.0%,"181,589"
419199007,Allergy to substance (finding),Condition,Medicaid,Government,"$2,565,757,405","$2,565,757,405","$9,788",0.6%,"262,134"
72892002,Normal pregnancy,Condition,Cigna Health,Commercial,"$2,359,890,929","$2,359,890,929","$15,326",15.5%,"153,977"
72892002,Normal pregnancy,Condition,Anthem,Commercial,"$2,330,238,433","$2,330,238,433","$15,286",11.0%,"152,443"
72892002,Normal pregnancy,Condition,Aetna,Commercial,"$2,279,272,795","$2,279,272,795","$15,477",19.3%,"147,267"
72892002,Normal pregnancy,Condition,Blue Cross Blue Shield,Commercial,"$2,118,074,073","$2,118,074,073","$15,124",14.5%,"140,044"
424132000,Non-small cell carcinoma of lung  TNM stage 1 (disorder),Condition,Medicare,Government,"$2,115,585,139","$2,115,585,139","$5,635",0.5%,"375,467"
66383009,Gingivitis (disorder),Condition,Medicare,Government,"$2,063,964,999","$2,063,965,407","$2,073",3.5%,"995,487"
72892002,Normal pregnancy,Condition,UnitedHealthcare,Commercial,"$1,941,228,248","$1,941,228,248","$15,107",10.6%,"128,499"
431857002,Chronic kidney disease stage 4 (disorder),Condition,Medicare,Government,"$1,703,169,225","$1,703,169,225",$468,1.8%,"3,641,848"
72892002,Normal pregnancy,Condition,Medicare,Government,"$1,692,761,507","$1,692,761,507","$15,005",1.8%,"112,810"
66383009,Gingivitis (disorder),Condition,Medicaid,Government,"$1,500,228,998","$1,500,229,406","$2,118",2.4%,"708,381"
419199007,Allergy to substance (finding),Condition,Medicare,Government,"$1,291,719,894","$1,291,719,894","$10,866",1.1%,"118,882"
419199007,Allergy to substance (finding),Condition,Humana,Commercial,"$777,097,327","$777,097,327","$10,500",7.1%,"74,006"
424132000,Non-small cell carcinoma of lung  TNM stage 1 (disorder),Condition,Dual Eligible,Government,"$687,567,452","$687,567,452","$5,244",0.3%,"131,107"
66383009,Gingivitis (disorder),Condition,Dual Eligible,Government,"$677,063,248","$677,063,248","$1,904",1.6%,"355,670"
66383009,Gingivitis (disorder),Condition,Humana,Commercial,"$634,955,483","$634,955,483","$2,337",69.1%,"271,671"
72892002,Normal pregnancy,Condition,Dual Eligible,Government,"$624,517,720","$624,517,720","$13,515",0.3%,"46,208"
419199007,Allergy to substance (finding),Condition,Dual Eligible,Government,"$591,956,038","$591,956,038","$10,333",0.3%,"57,287"
419199007,Allergy to substance (finding),Condition,Aetna,Commercial,"$588,066,867","$588,066,867","$10,276",7.3%,"57,225"
419199007,Allergy to substance (finding),Condition,NO_INSURANCE,Self-Pay / Uninsured,"$586,816,511","$586,816,511","$10,163",100.0%,"57,741"
419199007,Allergy to substance (finding),Condition,Cigna Health,Commercial,"$575,526,046","$575,526,046","$10,308",6.6%,"55,833"
419199007,Allergy to substance (finding),Condition,Anthem,Commercial,"$568,443,997","$568,443,997","$10,382",5.9%,"54,754"
419199007,Allergy to substance (finding),Condition,Blue Cross Blue Shield,Commercial,"$554,091,426","$554,091,426","$10,431",6.4%,"53,122"
66383009,Gingivitis (disorder),Condition,Cigna Health,Commercial,"$542,262,504","$542,262,504","$2,235",58.9%,"242,608"
419199007,Allergy to substance (finding),Condition,UnitedHealthcare,Commercial,"$536,881,940","$536,881,940","$10,331",5.8%,"51,966"
66383009,Gingivitis (disorder),Condition,Aetna,Commercial,"$529,889,706","$529,889,706","$2,242",69.2%,"236,303"
254837009,Malignant neoplasm of breast (disorder),Condition,Medicare,Government,"$528,155,861","$528,155,861","$2,568",2.8%,"205,638"
431857002,Chronic kidney disease stage 4 (disorder),Condition,Medicaid,Government,"$528,090,116","$528,090,116",$450,4.1%,"1,173,718"
67811000119102,Primary small cell malignant neoplasm of lung  TNM stage 1 (disorder),Condition,Medicare,Government,"$516,958,564","$516,958,564","$5,727",0.4%,"90,263"
66383009,Gingivitis (disorder),Condition,Anthem,Commercial,"$505,922,486","$505,922,486","$2,260",24.5%,"223,858"
431857002,Chronic kidney disease stage 4 (disorder),Condition,Dual Eligible,Government,"$487,939,131","$487,939,131",$456,3.5%,"1,069,501"
66383009,Gingivitis (disorder),Condition,NO_INSURANCE,Self-Pay / Uninsured,"$476,819,109","$476,819,109","$2,206",100.0%,"216,147"
46177005,End-stage renal disease (disorder),Condition,Medicare,Government,"$374,334,203","$374,334,203",$466,1.8%,"803,300"
66383009,Gingivitis (disorder),Condition,Blue Cross Blue Shield,Commercial,"$369,119,445","$369,119,445","$2,332",59.8%,"158,285"
431857002,Chronic kidney disease stage 4 (disorder),Condition,NO_INSURANCE,Self-Pay / Uninsured,"$361,835,445","$361,835,445",$438,100.0%,"825,325"
66383009,Gingivitis (disorder),Condition,UnitedHealthcare,Commercial,"$339,688,054","$339,688,054","$2,335",25.2%,"145,459"
840539006,COVID-19,Condition,Medicare,Government,"$295,342,730","$295,342,730","$1,269",2.7%,"232,826"
274531002,Abnormal findings diagnostic imaging heart+coronary circulat (finding),Condition,Medicare,Government,"$291,964,696","$291,964,696","$3,895",3.2%,"74,962"
431857002,Chronic kidney disease stage 4 (disorder),Condition,Humana,Commercial,"$284,675,631","$284,675,631",$471,8.0%,"604,120"
192127007,Child attention deficit disorder,Condition,Medicaid,Government,"$279,511,278","$279,511,278","$8,994",0.1%,"31,076"
431857002,Chronic kidney disease stage 4 (disorder),Condition,Cigna Health,Commercial,"$254,932,677","$254,932,677",$449,8.7%,"567,170"
414545008,Ischemic heart disease (disorder),Condition,Medicare,Government,"$251,025,835","$251,025,835","$2,589",3.8%,"96,948"
431857002,Chronic kidney disease stage 4 (disorder),Condition,Aetna,Commercial,"$234,639,327","$234,639,327",$450,8.7%,"521,645"
230690007,Stroke,Condition,Medicare,Government,"$227,902,972","$227,902,972","$75,315",2.9%,"3,026"
6525002,Dependent drug abuse (disorder),Condition,Medicaid,Government,"$223,252,047","$223,252,047",$423,2.8%,"527,242"
431857002,Chronic kidney disease stage 4 (disorder),Condition,Anthem,Commercial,"$218,928,970","$218,929,350",$458,8.8%,"477,965"
88805009,Chronic congestive heart failure (disorder),Condition,Medicare,Government,"$216,286,615","$216,286,615",$653,3.6%,"331,293"
73595000,Stress (finding),Condition,Medicare,Government,"$210,418,927","$210,418,927",$441,5.9%,"477,582"
312608009,Laceration - injury (disorder),Condition,Medicaid,Government,"$199,033,105","$199,033,105","$4,586",1.4%,"43,397"
254837009,Malignant neoplasm of breast (disorder),Condition,Dual Eligible,Government,"$183,276,777","$183,276,777","$2,708",1.0%,"67,690"
424132000,Non-small cell carcinoma of lung  TNM stage 1 (disorder),Condition,Medicaid,Government,"$182,218,499","$182,218,499","$5,285",0.5%,"34,480"
125605004,Fracture of bone (disorder),Condition,Medicare,Government,"$182,120,951","$182,120,951","$3,130",4.3%,"58,184"
68496003,Polyp of colon,Condition,Medicare,Government,"$169,868,429","$169,868,429","$13,170",4.1%,"12,898"
431857002,Chronic kidney disease stage 4 (disorder),Condition,Blue Cross Blue Shield,Commercial,"$164,482,746","$164,482,746",$464,8.1%,"354,330"
424132000,Non-small cell carcinoma of lung  TNM stage 1 (disorder),Condition,NO_INSURANCE,Self-Pay / Uninsured,"$164,317,628","$164,317,628","$5,502",100.0%,"29,864"
840539006,COVID-19,Condition,Medicaid,Government,"$161,428,613","$161,428,613",$951,1.5%,"169,747"
196416002,Impacted molars,Condition,Medicaid,Government,"$148,679,373","$148,679,373","$5,356",0.9%,"27,758"
10509002,Acute bronchitis (disorder),Condition,Medicaid,Government,"$142,395,179","$142,395,179",$892,6.5%,"159,660"
431857002,Chronic kidney disease stage 4 (disorder),Condition,UnitedHealthcare,Commercial,"$140,342,872","$140,342,872",$464,8.3%,"302,615"
312608009,Laceration - injury (disorder),Condition,Medicare,Government,"$139,326,577","$139,326,577","$4,916",3.9%,"28,343"
254837009,Malignant neoplasm of breast (disorder),Condition,Medicaid,Government,"$133,841,580","$133,841,580","$5,336",0.4%,"25,085"
46177005,End-stage renal disease (disorder),Condition,Medicaid,Government,"$132,102,698","$132,102,698",$457,4.2%,"288,860"
363406005,Malignant tumor of colon,Condition,Medicare,Government,"$120,396,253","$120,396,253","$5,539",1.9%,"21,737"
274531002,Abnormal findings diagnostic imaging heart+coronary circulat (finding),Condition,Medicaid,Government,"$119,547,220","$119,547,220","$3,551",0.6%,"33,663"
26929004,Alzheimer's disease (disorder),Condition,Medicare,Government,"$116,483,350","$116,483,350","$2,552",5.8%,"45,645"
67811000119102,Primary small cell malignant neoplasm of lung  TNM stage 1 (disorder),Condition,Dual Eligible,Government,"$114,178,600","$114,178,600","$5,401",0.6%,"21,140"
307426000,Acute infective cystitis (disorder),Condition,Medicaid,Government,"$107,092,572","$107,092,572","$2,414",2.5%,"44,356"
46177005,End-stage renal disease (disorder),Condition,Dual Eligible,Government,"$107,085,997","$107,085,997",$453,3.6%,"236,348"
6525002,Dependent drug abuse (disorder),Condition,Medicare,Government,"$105,136,109","$105,136,109",$449,8.6%,"234,123"
82423001,Chronic pain (finding),Condition,Medicaid,Government,"$104,812,858","$104,812,858","$1,076",5.3%,"97,368"
414545008,Ischemic heart disease (disorder),Condition,Medicaid,Government,"$98,728,099","$98,728,099","$2,405",1.0%,"41,055"
10509002,Acute bronchitis (disorder),Condition,Medicare,Government,"$96,327,906","$96,327,906",$887,5.4%,"108,599"
840539006,COVID-19,Condition,Dual Eligible,Government,"$95,248,139","$95,248,139","$1,249",0.9%,"76,230"
312608009,Laceration - injury (disorder),Condition,Humana,Commercial,"$87,370,739","$87,370,739","$4,965",55.1%,"17,598"
274531002,Abnormal findings diagnostic imaging heart+coronary circulat (finding),Condition,Dual Eligible,Government,"$85,119,160","$85,119,160","$3,591",0.4%,"23,704"
46177005,End-stage renal disease (disorder),Condition,NO_INSURANCE,Self-Pay / Uninsured,"$84,820,969","$84,820,969",$438,100.0%,"193,666"
87433001,Pulmonary emphysema (disorder),Condition,Medicare,Government,"$84,491,490","$84,491,490","$16,898",3.3%,"5,000"
6525002,Dependent drug abuse (disorder),Condition,Dual Eligible,Government,"$82,965,481","$82,965,481",$418,0.7%,"198,493"
195662009,Acute viral pharyngitis (disorder),Condition,Medicaid,Government,"$81,008,532","$81,008,532",$858,7.4%,"94,456"
414545008,Ischemic heart disease (disorder),Condition,Dual Eligible,Government,"$77,076,365","$77,076,365","$2,423",0.5%,"31,812"
109838007,Overlapping malignant neoplasm of colon,Condition,Medicare,Government,"$76,692,196","$76,692,196","$6,794",2.4%,"11,289"
840539006,COVID-19,Condition,Humana,Commercial,"$74,986,387","$74,986,387","$1,036",21.1%,"72,405"
