Condition Code,Condition Name,Payer Name,Payer Type,Total Billed,Total Paid,Avg Cost per Claim,% Borne by Patient,Number of Claims
72892002,Normal pregnancy,Medicaid,Government,"$9,029,053,030","$9,029,053,030","$13,595",0.4%,"664,164"
72892002,Normal pregnancy,Humana,Commercial,"$3,963,814,568","$3,963,814,568","$15,155",17.3%,"261,558"
72892002,Normal pregnancy,NO_INSURANCE,Self-Pay / Uninsured,"$2,594,781,261","$2,594,781,261","$14,289",100.0%,"181,589"
419199007,Allergy to substance (finding),Medicaid,Government,"$2,565,757,405","$2,565,757,405","$9,788",0.6%,"262,134"
66383009,Gingivitis (disorder),Medicare,Government,"$2,379,529,972","$2,379,530,380","$1,417",3.9%,"1,678,919"
72892002,Normal pregnancy,Cigna Health,Commercial,"$2,359,890,929","$2,359,890,929","$15,326",15.5%,"153,977"
72892002,Normal pregnancy,Anthem,Commercial,"$2,330,238,433","$2,330,238,433","$15,286",11.0%,"152,443"
72892002,Normal pregnancy,Aetna,Commercial,"$2,279,272,795","$2,279,272,795","$15,477",19.3%,"147,267"
72892002,Normal pregnancy,Blue Cross Blue Shield,Commercial,"$2,118,074,073","$2,118,074,073","$15,124",14.5%,"140,044"
424132000,Non-small cell carcinoma of lung  TNM stage 1 (disorder),Medicare,Government,"$2,115,585,139","$2,115,585,139","$5,635",0.5%,"375,467"
72892002,Normal pregnancy,UnitedHealthcare,Commercial,"$1,941,228,248","$1,941,228,248","$15,107",10.6%,"128,499"
431857002,Chronic kidney disease stage 4 (disorder),Medicare,Government,"$1,708,479,050","$1,708,479,050",$467,1.8%,"3,655,561"
72892002,Normal pregnancy,Medicare,Government,"$1,692,761,507","$1,692,761,507","$15,005",1.8%,"112,810"
66383009,Gingivitis (disorder),Medicaid,Government,"$1,648,559,647","$1,648,560,055","$1,586",3.0%,"1,039,678"
419199007,Allergy to substance (finding),Medicare,Government,"$1,291,719,894","$1,291,719,894","$10,866",1.1%,"118,882"
66383009,Gingivitis (disorder),Dual Eligible,Government,"$779,102,815","$779,102,815","$1,294",1.9%,"602,054"
419199007,Allergy to substance (finding),Humana,Commercial,"$777,097,327","$777,097,327","$10,500",7.1%,"74,006"
66383009,Gingivitis (disorder),Humana,Commercial,"$694,372,760","$694,372,760","$1,736",69.5%,"399,879"
424132000,Non-small cell carcinoma of lung  TNM stage 1 (disorder),Dual Eligible,Government,"$687,567,452","$687,567,452","$5,244",0.3%,"131,107"
72892002,Normal pregnancy,Dual Eligible,Government,"$624,517,720","$624,517,720","$13,515",0.3%,"46,208"
66383009,Gingivitis (disorder),Cigna Health,Commercial,"$594,568,930","$594,568,930","$1,651",59.9%,"360,035"
419199007,Allergy to substance (finding),Dual Eligible,Government,"$591,956,038","$591,956,038","$10,333",0.3%,"57,287"
419199007,Allergy to substance (finding),Aetna,Commercial,"$588,066,867","$588,066,867","$10,276",7.3%,"57,225"
419199007,Allergy to substance (finding),NO_INSURANCE,Self-Pay / Uninsured,"$586,816,511","$586,816,511","$10,163",100.0%,"57,741"
66383009,Gingivitis (disorder),Aetna,Commercial,"$581,066,749","$581,066,749","$1,653",69.6%,"351,444"
419199007,Allergy to substance (finding),Cigna Health,Commercial,"$575,526,046","$575,526,046","$10,308",6.6%,"55,833"
419199007,Allergy to substance (finding),Anthem,Commercial,"$568,443,997","$568,443,997","$10,382",5.9%,"54,754"
66383009,Gingivitis (disorder),Anthem,Commercial,"$554,464,094","$554,464,094","$1,672",27.6%,"331,689"
419199007,Allergy to substance (finding),Blue Cross Blue Shield,Commercial,"$554,091,426","$554,091,426","$10,431",6.4%,"53,122"
419199007,Allergy to substance (finding),UnitedHealthcare,Commercial,"$536,881,940","$536,881,940","$10,331",5.8%,"51,966"
254837009,Malignant neoplasm of breast (disorder),Medicare,Government,"$532,177,627","$532,177,627","$2,580",2.8%,"206,253"
431857002,Chronic kidney disease stage 4 (disorder),Medicaid,Government,"$529,441,811","$529,441,811",$449,4.1%,"1,178,108"
66383009,Gingivitis (disorder),NO_INSURANCE,Self-Pay / Uninsured,"$525,984,039","$525,984,039","$1,598",100.0%,"329,128"
67811000119102,Primary small cell malignant neoplasm of lung  TNM stage 1 (disorder),Medicare,Government,"$516,958,564","$516,958,564","$5,727",0.4%,"90,263"
68496003,Polyp of colon,Medicare,Government,"$508,192,238","$508,192,238","$20,187",3.9%,"25,174"
431857002,Chronic kidney disease stage 4 (disorder),Dual Eligible,Government,"$489,565,467","$489,565,467",$456,3.5%,"1,074,357"
66383009,Gingivitis (disorder),Blue Cross Blue Shield,Commercial,"$404,026,478","$404,026,478","$1,754",61.0%,"230,361"
46177005,End-stage renal disease (disorder),Medicare,Government,"$376,681,166","$376,681,166",$465,1.8%,"809,258"
66383009,Gingivitis (disorder),UnitedHealthcare,Commercial,"$371,865,198","$371,865,198","$1,765",28.4%,"210,699"
431857002,Chronic kidney disease stage 4 (disorder),NO_INSURANCE,Self-Pay / Uninsured,"$362,705,233","$362,705,233",$438,100.0%,"827,880"
840539006,COVID-19,Medicare,Government,"$295,342,730","$295,342,730","$1,269",2.7%,"232,826"
274531002,Abnormal findings diagnostic imaging heart+coronary circulat (finding),Medicare,Government,"$291,964,696","$291,964,696","$3,895",3.2%,"74,962"
431857002,Chronic kidney disease stage 4 (disorder),Humana,Commercial,"$285,457,250","$285,457,250",$471,8.1%,"606,352"
192127007,Child attention deficit disorder,Medicaid,Government,"$279,511,278","$279,511,278","$8,994",0.1%,"31,076"
414545008,Ischemic heart disease (disorder),Medicare,Government,"$273,146,651","$273,146,651","$1,911",4.0%,"142,905"
431857002,Chronic kidney disease stage 4 (disorder),Cigna Health,Commercial,"$255,609,041","$255,609,041",$449,8.7%,"569,117"
18718003,Gingival disease (disorder),Medicare,Government,"$242,869,334","$242,869,334","$3,738",3.2%,"64,967"
431857002,Chronic kidney disease stage 4 (disorder),Aetna,Commercial,"$235,294,692","$235,294,692",$450,8.7%,"523,429"
230690007,Stroke,Medicare,Government,"$228,165,425","$228,165,425","$75,104",3.0%,"3,038"
6525002,Dependent drug abuse (disorder),Medicaid,Government,"$223,252,047","$223,252,047",$423,2.8%,"527,242"
431857002,Chronic kidney disease stage 4 (disorder),Anthem,Commercial,"$219,509,440","$219,509,820",$458,8.8%,"479,660"
88805009,Chronic congestive heart failure (disorder),Medicare,Government,"$216,286,615","$216,286,615",$653,3.6%,"331,293"
312608009,Laceration - injury (disorder),Medicaid,Government,"$199,033,105","$199,033,105","$4,586",1.4%,"43,397"
18718003,Gingival disease (disorder),Medicaid,Government,"$193,781,596","$193,781,596","$3,556",1.5%,"54,491"
68496003,Polyp of colon,Medicaid,Government,"$187,024,572","$187,024,572","$19,018",0.5%,"9,834"
254837009,Malignant neoplasm of breast (disorder),Dual Eligible,Government,"$184,546,245","$184,546,245","$2,718",1.0%,"67,893"
424132000,Non-small cell carcinoma of lung  TNM stage 1 (disorder),Medicaid,Government,"$182,218,499","$182,218,499","$5,285",0.5%,"34,480"
125605004,Fracture of bone (disorder),Medicare,Government,"$182,120,951","$182,120,951","$3,130",4.3%,"58,184"
109570002,Primary dental caries (disorder),Medicare,Government,"$174,893,452","$174,893,452","$2,728",3.3%,"64,122"
109570002,Primary dental caries (disorder),Medicaid,Government,"$170,106,482","$170,106,482","$2,584",2.0%,"65,838"
431857002,Chronic kidney disease stage 4 (disorder),Blue Cross Blue Shield,Commercial,"$164,905,809","$164,905,809",$464,8.1%,"355,542"
424132000,Non-small cell carcinoma of lung  TNM stage 1 (disorder),NO_INSURANCE,Self-Pay / Uninsured,"$164,317,628","$164,317,628","$5,502",100.0%,"29,864"
840539006,COVID-19,Medicaid,Government,"$161,428,613","$161,428,613",$951,1.5%,"169,747"
68496003,Polyp of colon,Dual Eligible,Government,"$154,626,716","$154,626,716","$18,887",0.2%,"8,187"
196416002,Impacted molars,Medicaid,Government,"$148,679,373","$148,679,373","$5,356",0.9%,"27,758"
10509002,Acute bronchitis (disorder),Medicaid,Government,"$142,395,179","$142,395,179",$892,6.5%,"159,660"
431857002,Chronic kidney disease stage 4 (disorder),UnitedHealthcare,Commercial,"$140,671,758","$140,671,758",$463,8.3%,"303,524"
312608009,Laceration - injury (disorder),Medicare,Government,"$139,326,577","$139,326,577","$4,916",3.9%,"28,343"
254837009,Malignant neoplasm of breast (disorder),Medicaid,Government,"$136,237,418","$136,237,418","$5,348",0.5%,"25,475"
46177005,End-stage renal disease (disorder),Medicaid,Government,"$132,647,101","$132,647,101",$456,4.3%,"290,585"
307426000,Acute infective cystitis (disorder),Medicaid,Government,"$120,808,027","$120,808,027","$2,272",2.6%,"53,173"
363406005,Malignant tumor of colon,Medicare,Government,"$120,396,253","$120,396,253","$5,539",1.9%,"21,737"
274531002,Abnormal findings diagnostic imaging heart+coronary circulat (finding),Medicaid,Government,"$119,547,220","$119,547,220","$3,551",0.6%,"33,663"
26929004,Alzheimer's disease (disorder),Medicare,Government,"$117,080,816","$117,080,816","$2,479",5.8%,"47,229"
67811000119102,Primary small cell malignant neoplasm of lung  TNM stage 1 (disorder),Dual Eligible,Government,"$114,178,600","$114,178,600","$5,401",0.6%,"21,140"
46177005,End-stage renal disease (disorder),Dual Eligible,Government,"$107,712,963","$107,712,963",$452,3.6%,"238,184"
