ENCOUNTERCLASS,BUCKET,CLAIMS,AVG_DAYS_TO_PAY,AVG_ENCOUNTER_DAYS,AVG_BILLED,AVG_TX_PER_CLAIM,PCT_WITH_SECONDARY,PCT_WITH_PATIENT_RESP
ambulatory,1_same_day,28633670,0.00,0.08,2279.28,8.92,24.2,30.4
ambulatory,2_delayed_1_30,618004,1.38,0.95,4188.68,33.35,21.3,43.6
ambulatory,3_delayed_31plus,3,40.33,37.67,342.71,9.67,0.0,33.3
emergency,1_same_day,3233079,0.00,0.13,1240.30,5.64,28.3,32.9
emergency,2_delayed_1_30,6675,4.46,11.55,30430.24,26.95,16.3,49.3
emergency,3_delayed_31plus,93,38.33,43.74,189516.68,61.27,12.9,51.6
home,1_same_day,179955,0.00,0.01,713.10,9.50,59.1,13.1
hospice,1_same_day,3178,0.00,6.63,2083.81,20.34,55.2,23.5
hospice,2_delayed_1_30,41540,15.24,16.93,9808.85,86.03,52.5,50.5
hospice,3_delayed_31plus,8905,53.35,53.57,28042.24,246.17,57.8,64.4
inpatient,1_same_day,2122522,0.00,8.43,672.01,4.20,33.5,24.3
inpatient,2_delayed_1_30,147245,5.76,6.58,39630.98,48.24,39.6,16.8
inpatient,3_delayed_31plus,224,41.11,41.79,54023.25,282.16,46.9,16.5
outpatient,1_same_day,13039526,0.00,0.02,655.48,6.10,25.0,39.8
outpatient,2_delayed_1_30,6104,6.46,6.47,4691.16,11.24,6.9,63.4
snf,1_same_day,469,0.00,13.80,707.54,8.01,41.2,28.4
snf,2_delayed_1_30,70757,11.98,12.23,11217.97,90.59,26.1,50.5
snf,3_delayed_31plus,18051,48.62,48.82,37909.81,300.52,26.6,50.5
urgentcare,1_same_day,7734315,0.00,0.02,323.50,5.63,36.7,24.0
virtual,1_same_day,162943,0.00,0.02,1120.85,6.66,29.1,39.9
virtual,2_delayed_1_30,1047,1.18,0.97,3009.03,22.78,13.2,62.1
wellness,1_same_day,12616817,0.00,0.03,549.54,9.13,17.2,59.8
