CODE,DESCRIPTION,SOURCE_TABLES,CODE_CATEGORY,OCCURRENCE_COUNT,REASON_ONLY
72892002,Normal pregnancy,"CONDITIONS, ENCOUNTERS.REASON, PROCEDURES.REASON",Condition,12138000,False
140,Influenza  seasonal  injectable  preservative free,IMMUNIZATIONS,Medication or vaccine,5999322,False
15777000,Prediabetes,"CARE_PLANS.REASON, CONDITIONS, MEDICATIONS.REASON",Condition,3473252,False
185345009,Encounter for symptom,ENCOUNTERS,Encounter type,2749545,False
233678006,Childhood asthma,"CARE_PLANS.REASON, CONDITIONS, ENCOUNTERS.REASON, MEDICATIONS.REASON, PROCEDURES.REASON",Condition,1974873,False
55822004,Hyperlipidemia,"CARE_PLANS.REASON, CONDITIONS, ENCOUNTERS.REASON, MEDICATIONS.REASON",Condition,1932473,False
424619006,Prenatal visit,ENCOUNTERS,Encounter type,1932246,False
274804006,Evaluation of uterine fundal height,PROCEDURES,Procedure,1777102,False
225158009,Auscultation of the fetal heart,PROCEDURES,Procedure,1777102,False
308335008,Patient encounter procedure,ENCOUNTERS,Encounter type,1274362,False
448337001,Telemedicine consultation with patient,"ENCOUNTERS, PROCEDURES",Procedure,931000,False
208,COVID-19  mRNA  LNP-S  PF  30 mcg/0.3 mL dose,IMMUNIZATIONS,Medication or vaccine,916279,False
698314001,Consultation for treatment,"ENCOUNTERS, PROCEDURES",Procedure,912587,False
76601001,Intramuscular injection,PROCEDURES,Procedure,904478,False
371883000,Outpatient procedure,ENCOUNTERS,Encounter type,878175,False
180256009,Subcutaneous immunotherapy,PROCEDURES,Procedure,876042,False
207,COVID-19  mRNA  LNP-S  PF  100 mcg/0.5mL dose or 50 mcg/0.25mL dose,IMMUNIZATIONS,Medication or vaccine,722910,False
113,Td (adult)  5 Lf tetanus toxoid  preservative free  adsorbed,IMMUNIZATIONS,Medication or vaccine,546583,False
443402002,Lifestyle education regarding hypertension,CARE_PLANS,Encounter type,534519,False
55680006,Drug overdose,"CONDITIONS, ENCOUNTERS.REASON, MEDICATIONS.REASON",Condition,459480,False
698360004,Diabetes self management plan,CARE_PLANS,Encounter type,429970,False
104091002,Hemogram  automated  with RBC  WBC  Hgb  Hct  Indices  Platelet count  and manual WBC differential,PROCEDURES,Procedure,399097,False
53950000,Respiratory therapy,CARE_PLANS,Encounter type,387296,False
20,DTaP,IMMUNIZATIONS,Medication or vaccine,369956,False
840544004,Suspected COVID-19,"CONDITIONS, ENCOUNTERS.REASON, PROCEDURES.REASON",Condition,363468,False
73761001,Colonoscopy,PROCEDURES,Procedure,362359,False
133,Pneumococcal conjugate PCV 13,IMMUNIZATIONS,Medication or vaccine,358838,False
424441002,Prenatal initial visit,ENCOUNTERS,Encounter type,346570,False
252160004,Standard pregnancy test,PROCEDURES,Procedure,326807,False
10,IPV,IMMUNIZATIONS,Medication or vaccine,311501,False
169230002,Ultrasound scan for fetal viability,PROCEDURES,Procedure,305330,False
196416002,Impacted molars,"CONDITIONS, ENCOUNTERS.REASON",Condition,281109,False
124171000119105,Chronic intractable migraine without aura,"CONDITIONS, ENCOUNTERS.REASON",Condition,280942,False
90226004,Cytopathology procedure  preparation of smear  genital source,PROCEDURES,Procedure,253638,False
114,meningococcal MCV4P,IMMUNIZATIONS,Medication or vaccine,252320,False
239873007,Osteoarthritis of knee,"CARE_PLANS.REASON, CONDITIONS, ENCOUNTERS.REASON, MEDICATIONS.REASON",Condition,247439,False
65363002,Otitis media,"CONDITIONS, ENCOUNTERS.REASON",Condition,237502,False
134435003,Routine antenatal care,CARE_PLANS,Encounter type,235781,False
68496003,Polyp of colon,"CONDITIONS, ENCOUNTERS.REASON, PROCEDURES.REASON",Condition,233645,False
195967001,Asthma,"CARE_PLANS.REASON, CONDITIONS, ENCOUNTERS.REASON, MEDICATIONS.REASON, PROCEDURES.REASON",Condition,230367,False
8,Hep B  adolescent or pediatric,IMMUNIZATIONS,Medication or vaccine,228338,False
62,HPV  quadrivalent,IMMUNIZATIONS,Medication or vaccine,224271,False
363406005,Malignant tumor of colon,"CARE_PLANS.REASON, CONDITIONS, ENCOUNTERS.REASON, MEDICATIONS.REASON, PROCEDURES.REASON",Condition,213298,False
192127007,Child attention deficit disorder,"CONDITIONS, ENCOUNTERS.REASON, MEDICATIONS.REASON, PROCEDURES.REASON",Condition,204262,False
310861008,Chlamydia antigen test,PROCEDURES,Procedure,203608,False
117010004,Urine culture,PROCEDURES,Procedure,203608,False
167271000,Urine protein test,PROCEDURES,Procedure,203608,False
104326007,Measurement of Varicella-zoster virus antibody,PROCEDURES,Procedure,203608,False
395123002,Urine screening test for diabetes,PROCEDURES,Procedure,203608,False
31676001,Human immunodeficiency virus antigen test,PROCEDURES,Procedure,203608,False
47758006,Hepatitis B Surface Antigen Measurement,PROCEDURES,Procedure,203608,False
104375008,Hepatitis C antibody  confirmatory test,PROCEDURES,Procedure,203608,False
169762003,Postnatal visit,ENCOUNTERS,Encounter type,196905,False
183460006,Obstetric emergency hospital admission,ENCOUNTERS,Encounter type,196086,False
275833003,AFP test - antenatal,PROCEDURES,Procedure,195637,False
271442007,Fetal anatomy study,PROCEDURES,Procedure,195637,False
399014008,Administration of diphtheria  pertussis  and tetanus vaccine,PROCEDURES,Procedure,195489,False
268556000,Urine screening for glucose,PROCEDURES,Procedure,195489,False
121,zoster vaccine  live,IMMUNIZATIONS,Medication or vaccine,194740,False
308646001,Death Certification,ENCOUNTERS,Encounter type,191552,False
118001005,Streptococcus pneumoniae group B antigen assay,PROCEDURES,Procedure,182239,False
43,Hep B  adult,IMMUNIZATIONS,Medication or vaccine,179180,False
128613002,Seizure disorder,"CONDITIONS, ENCOUNTERS.REASON, MEDICATIONS.REASON",Condition,175227,False
56876005,Drug rehabilitation and detoxification,ENCOUNTERS,Encounter type,172337,False
394701000,Asthma follow-up,ENCOUNTERS,Encounter type,172194,False
52,Hep A  adult,IMMUNIZATIONS,Medication or vaccine,171210,False
840539006,COVID-19,"CONDITIONS, ENCOUNTERS.REASON, MEDICATIONS.REASON, PROCEDURES.REASON",Condition,161729,False
66348005,Childbirth,PROCEDURES,Procedure,158860,False
408869004,Musculoskeletal care,CARE_PLANS,Encounter type,153658,False
305408004,Admission to surgical department,ENCOUNTERS,Encounter type,152826,False
3,MMR,IMMUNIZATIONS,Medication or vaccine,151231,False
21,varicella,IMMUNIZATIONS,Medication or vaccine,148927,False
83,Hep A  ped/adol  2 dose,IMMUNIZATIONS,Medication or vaccine,148384,False
119,rotavirus  monovalent,IMMUNIZATIONS,Medication or vaccine,146948,False
44465007,Sprain of ankle,"CARE_PLANS.REASON, CONDITIONS",Condition,146860,False
169690007,Rubella screening,PROCEDURES,Procedure,145078,False
736285004,Hyperlipidemia clinical management plan,CARE_PLANS,Encounter type,139029,False
62106007,Concussion with no loss of consciousness,"CARE_PLANS.REASON, CONDITIONS, ENCOUNTERS.REASON",Condition,124240,False
65966004,Fracture of forearm,"CARE_PLANS.REASON, CONDITIONS, ENCOUNTERS.REASON, PROCEDURES.REASON",Condition,113736,False
385691007,Fracture care,CARE_PLANS,Encounter type,110257,False
225358003,Wound care,CARE_PLANS,Encounter type,106167,False
126906006,Neoplasm of prostate,"CARE_PLANS.REASON, CONDITIONS, ENCOUNTERS.REASON, MEDICATIONS.REASON, PROCEDURES.REASON",Condition,105116,False
109838007,Overlapping malignant neoplasm of colon,"CARE_PLANS.REASON, CONDITIONS, ENCOUNTERS.REASON, MEDICATIONS.REASON, PROCEDURES.REASON",Condition,104185,False
288086009,Suture open wound,PROCEDURES,Procedure,103358,False
201834006,Localized  primary osteoarthritis of the hand,"CARE_PLANS.REASON, CONDITIONS, ENCOUNTERS.REASON, MEDICATIONS.REASON",Condition,103177,False
58150001,Fracture of clavicle,"CARE_PLANS.REASON, CONDITIONS, ENCOUNTERS.REASON, PROCEDURES.REASON",Condition,96510,False
65200003,Insertion of intrauterine contraceptive device,PROCEDURES,Procedure,94042,False
24079001,Atopic dermatitis,"CARE_PLANS.REASON, CONDITIONS, ENCOUNTERS.REASON, MEDICATIONS.REASON",Condition,91717,False
169553002,Insertion of subcutaneous contraceptive,PROCEDURES,Procedure,90014,False
35999006,Blighted ovum,"CONDITIONS, ENCOUNTERS.REASON, PROCEDURES.REASON",Condition,89521,False
239872002,Osteoarthritis of hip,"CARE_PLANS.REASON, CONDITIONS, ENCOUNTERS.REASON, MEDICATIONS.REASON",Condition,89126,False
16114001,Fracture of ankle,"CARE_PLANS.REASON, CONDITIONS, ENCOUNTERS.REASON, PROCEDURES.REASON",Condition,87463,False
263102004,Fracture subluxation of wrist,"CARE_PLANS.REASON, CONDITIONS, ENCOUNTERS.REASON, PROCEDURES.REASON",Condition,86162,False
74400008,Appendicitis,"CONDITIONS, ENCOUNTERS.REASON, PROCEDURES.REASON",Condition,82124,False
14768001,Peripheral blood smear interpretation,PROCEDURES,Procedure,80047,False
274474001,Bone immobilization,PROCEDURES,Procedure,77039,False
115,Tdap,IMMUNIZATIONS,Medication or vaccine,75638,False
33,pneumococcal polysaccharide vaccine  23 valent,IMMUNIZATIONS,Medication or vaccine,71460,False
699728000,Asthma self management,CARE_PLANS,Encounter type,69959,False
47505003,Posttraumatic stress disorder,"CARE_PLANS.REASON, CONDITIONS, ENCOUNTERS, ENCOUNTERS.REASON, MEDICATIONS.REASON, PROCEDURES.REASON",Condition,67878,False
