ENCOUNTERCLASS,NUM_ENCOUNTERS,MIN_TOTAL_CLAIM_COST,MAX_TOTAL_CLAIM_COST,AVG_TOTAL_CLAIM_COST,MIN_PAYER_COVERAGE,MAX_PAYER_COVERAGE,AVG_PAYER_COVERAGE,MIN_BASE_ENCOUNTER_COST,MAX_BASE_ENCOUNTER_COST,AVG_BASE_ENCOUNTER_COST
ambulatory,36222870,0.00,479348.27,2580.20510690,0.00,479348.27,1978.97364617,59.64,142.58,78.16239370
wellness,12368712,91.23,86469.03,1261.08066941,0.00,83133.20,668.95659062,91.23,163.63,127.90426156
outpatient,8262177,59.64,69466.97,1374.39758191,0.00,69431.97,941.99207725,59.64,142.58,91.49032111
urgentcare,3212525,99.41,68943.27,1196.64002844,0.00,68908.27,916.17572086,99.41,142.58,118.66376642
emergency,2558307,62.44,639535.87,3639.31057889,0.00,534794.02,2645.65829275,62.44,170.13,116.99066504
inpatient,1254402,69.38,960966.97,28999.37127191,0.00,793923.71,23299.27164623,62.44,170.13,101.45407308
home,218508,318.20,2592.29,713.07262100,0.00,2592.29,592.39797390,105.11,163.57,124.41531948
hospice,182882,105.87,149164.90,11903.17917898,0.00,119145.52,9562.02994100,105.87,171.83,124.14038467
virtual,148971,75.00,25363.26,1224.85521659,0.00,25363.26,950.10839714,75.00,125.00,98.65896718
snf,106563,1743.85,106588.88,16783.90653435,0.00,103210.05,12986.53873549,99.90,183.23,121.27929234
