SVC_MONTH,NUM_ROWS,BILLED
2018-01,1027161,178309785.41
2018-02,931551,161185255.67
2018-03,1127945,182689142.73
2018-04,1001357,172110453.18
2018-05,1039795,176903443.49
2018-06,1010188,169726221.01
2018-07,1042322,179594922.85
2018-08,1043783,177805374.82
2018-09,1011187,168541064.10
2018-10,1116418,173421888.79
2018-11,1432173,186305114.40
2018-12,1521154,191709693.38
2019-01,1550486,202351564.50
2019-02,1422628,179565906.78
2019-03,2042903,220645915.01
2019-04,1586128,194671741.79
2019-05,1700636,204921883.95
2019-06,1663052,196725103.83
2019-07,1761848,206568160.92
2019-08,1821968,207916933.46
2019-09,1888238,203534623.72
2019-10,2931406,356197342.13
2019-11,7381557,1403625398.96
2019-12,8579665,1684216725.72
2020-01,8593144,1691376361.33
2020-02,8022564,1571124060.00
2020-03,9602585,1732164174.52
2020-04,9218639,1734261505.39
2020-05,8861389,1718854970.35
2020-06,8577769,1673552410.92
2020-07,9014975,1751601639.45
2020-08,8970621,1733644546.51
2020-09,8594662,1665582946.05
2020-10,9025927,1742765375.70
2020-11,9124743,1741318395.68
2020-12,9825748,1860014458.79
