ENCOUNTER_CLASS,PAYER_TYPE,TOTAL_BILLED,PAID_BY_PAYER,PAID_BY_PATIENT,PCT_BORNE_BY_PATIENT
ambulatory,Commercial,29255918035.69,22286557299.02,6969361116.65,23.8
ambulatory,Government,32778300728.39,32193487391.52,584814153.27,1.8
ambulatory,Self-Pay / Uninsured,5116324254.55,15695.90,5116307742.25,100.0
emergency,Commercial,1505058520.71,1060459593.20,444598927.51,29.5
emergency,Government,2449504908.56,2370588980.92,78915927.64,3.2
emergency,Self-Pay / Uninsured,274529201.84,1298.41,274527903.43,100.0
home,Commercial,642871.94,576807.20,66064.74,10.3
home,Government,126376378.14,121498788.13,4877590.01,3.9
home,Self-Pay / Uninsured,1305829.27,0.00,1305829.27,100.0
hospice,Commercial,32043580.73,22901083.73,9142497.00,28.5
hospice,Government,623688347.71,602622212.19,21066135.52,3.4
hospice,Self-Pay / Uninsured,8066112.16,0.00,8066112.16,100.0
inpatient,Commercial,1282279054.15,1083813175.72,198465878.43,15.5
inpatient,Government,5613264840.34,5556865015.14,56399825.20,1.0
inpatient,Self-Pay / Uninsured,372320805.49,119038.46,372201767.03,100.0
outpatient,Commercial,3798481574.37,2088876431.94,1709605142.43,45.0
outpatient,Government,4167055916.37,3936796270.90,230259645.47,5.5
outpatient,Self-Pay / Uninsured,608314364.23,7281.47,608307082.76,100.0
snf,Commercial,504338403.29,344840368.48,159498034.81,31.6
snf,Government,897132062.24,876989685.72,20142376.52,2.2
snf,Self-Pay / Uninsured,76921018.64,0.00,76921018.64,100.0
urgentcare,Commercial,467042618.39,316210718.07,150831900.32,32.3
urgentcare,Government,1897108301.57,1799038068.26,98070353.42,5.2
urgentcare,Self-Pay / Uninsured,137923586.18,0.00,137923586.18,100.0
virtual,Commercial,92902016.13,69131902.32,23770113.81,25.6
virtual,Government,79865210.36,76943380.86,2921829.50,3.7
virtual,Self-Pay / Uninsured,11185338.83,0.00,11185338.83,100.0
wellness,Commercial,2655729645.99,459055619.03,2196674919.20,82.7
wellness,Government,3882085034.43,3587532893.64,294552140.79,7.6
wellness,Self-Pay / Uninsured,395591626.97,1972.31,395589654.66,100.0
