SVC_YEAR,PAYER_TYPE,PAYER_NAME,TOTAL_BILLED,PAID_BY_PAYER,PAID_BY_PATIENT,PCT_BORNE_BY_PATIENT
2019,Commercial,Aetna,303304268.86,185612940.73,117691328.13,38.8
2019,Commercial,Anthem,285240880.88,218850940.69,66389940.19,23.3
2019,Commercial,Blue Cross Blue Shield,217314789.36,146956628.26,70358161.10,32.4
2019,Commercial,Cigna Health,309019884.95,205398582.69,103621302.26,33.5
2019,Commercial,Humana,394406397.66,256793684.63,137612713.03,34.9
2019,Commercial,UnitedHealthcare,204434998.89,160940164.35,43494834.54,21.3
2019,Government,Dual Eligible,534041849.30,521456153.30,12585696.00,2.4
2019,Government,Medicaid,1027362829.70,982784125.22,44578704.48,4.3
2019,Government,Medicare,1644052774.77,1589559898.90,54492875.87,3.3
2019,Self-Pay / Uninsured,NO_INSURANCE,341762626.40,11243.87,341751382.53,100.0
2020,Commercial,Aetna,1423987029.13,886078060.74,537908968.39,37.8
2020,Commercial,Anthem,1373759224.83,1097305184.97,276454111.49,20.1
2020,Commercial,Blue Cross Blue Shield,1108611775.42,774480508.02,334131267.40,30.1
2020,Commercial,Cigna Health,1444794168.16,974548721.09,470245447.07,32.5
2020,Commercial,Humana,1987833298.89,1321398864.67,666434434.22,33.5
2020,Commercial,UnitedHealthcare,1005025368.44,813984356.62,191041011.82,19.0
2020,Government,Dual Eligible,1508658067.97,1479604875.38,29053192.59,1.9
2020,Government,Medicaid,4795456071.39,4692791360.96,102664710.43,2.1
2020,Government,Medicare,4511768882.54,4365814991.55,145953890.99,3.2
2020,Self-Pay / Uninsured,NO_INSURANCE,1456366957.92,51424.29,1456315533.63,100.0
2021,Commercial,Aetna,1441521020.88,888131316.50,553389704.38,38.4
2021,Commercial,Anthem,1381249090.42,1095783224.31,285465866.11,20.7
2021,Commercial,Blue Cross Blue Shield,1132719069.34,789208678.68,343510390.66,30.3
2021,Commercial,Cigna Health,1458890210.84,976681221.49,482208989.35,33.1
2021,Commercial,Humana,1997072542.24,1313422245.94,683650296.30,34.2
2021,Commercial,UnitedHealthcare,1032088417.31,832785098.54,199303802.81,19.3
2021,Government,Dual Eligible,1558306736.51,1525258877.36,33047859.15,2.1
2021,Government,Medicaid,4826061004.98,4705991379.79,120069216.99,2.5
2021,Government,Medicare,4639031655.35,4485560441.28,153471214.07,3.3
2021,Self-Pay / Uninsured,NO_INSURANCE,1481237366.34,33018.60,1481204347.74,100.0
2022,Commercial,Aetna,1366822137.81,842437851.05,524384286.76,38.4
2022,Commercial,Anthem,1333650641.12,1065247237.28,268403783.82,20.1
2022,Commercial,Blue Cross Blue Shield,1097886160.23,767221208.67,330664951.56,30.1
2022,Commercial,Cigna Health,1389453395.79,928193779.92,461259615.87,33.2
2022,Commercial,Humana,1896326427.06,1247856457.33,648469969.73,34.2
2022,Commercial,UnitedHealthcare,1005182515.35,815008789.14,190173726.21,18.9
2022,Government,Dual Eligible,1523830590.93,1493313966.23,30516624.70,2.0
2022,Government,Medicaid,4637935674.09,4538222162.37,99713919.92,2.1
2022,Government,Medicare,4602156918.61,4451441489.70,150715428.91,3.3
2022,Self-Pay / Uninsured,NO_INSURANCE,1438071751.54,21249.54,1438050093.80,100.0
2023,Commercial,Aetna,1363314476.88,838563388.09,524751088.79,38.5
2023,Commercial,Anthem,1325278684.61,1056427914.72,268850769.89,20.3
2023,Commercial,Blue Cross Blue Shield,1098077052.57,767196032.42,330881020.15,30.1
2023,Commercial,Cigna Health,1406305807.37,944847747.38,461458396.56,32.8
2023,Commercial,Humana,1876936873.24,1231208509.86,645728363.38,34.4
2023,Commercial,UnitedHealthcare,1020220152.93,827654708.34,192565444.59,18.9
2023,Government,Dual Eligible,1563953571.75,1532043388.36,31910710.97,2.0
2023,Government,Medicaid,4604812888.10,4505224084.28,99588803.82,2.2
2023,Government,Medicare,4736342866.43,4579892208.62,156451066.01,3.3
2023,Self-Pay / Uninsured,NO_INSURANCE,1446710618.92,23037.71,1446687173.01,100.0
2024,Commercial,Aetna,1113879556.06,686888502.29,426991053.77,38.3
2024,Commercial,Anthem,1112037341.14,888511029.90,223526311.24,20.1
2024,Commercial,Blue Cross Blue Shield,893808062.02,621015079.07,272792982.95,30.5
2024,Commercial,Cigna Health,1143664818.19,763938334.79,379726483.40,33.2
2024,Commercial,Humana,1536070183.35,1006310586.83,529759596.52,34.5
2024,Commercial,UnitedHealthcare,827970819.77,670088360.06,157882459.71,19.1
2024,Government,Dual Eligible,1266185911.84,1239755279.79,26430632.78,2.1
2024,Government,Medicaid,3748997436.91,3667742672.92,81254763.99,2.2
2024,Government,Medicare,3990883450.71,3859705508.69,131177942.02,3.3
2024,Self-Pay / Uninsured,NO_INSURANCE,1180095443.44,16556.41,1180078887.03,100.0
