PAYER_NAME,PAYER_TYPE,TOTAL_BILLED,PAID_BY_PAYER,PAID_BY_PATIENT,PCT_BORNE_BY_PATIENT
NO_INSURANCE,Self-Pay / Uninsured,7002482138.16,145286.55,7002336035.21,100.0
Aetna,Commercial,6709524220.76,4142099118.67,2567425102.09,38.3
Humana,Commercial,9294239324.78,6120196664.63,3174042660.15,34.2
Cigna Health,Commercial,6843108400.35,4588209804.67,2254898932.25,33.0
Blue Cross Blue Shield,Commercial,5331102119.58,3719121506.86,1611980612.72,30.2
Anthem,Commercial,6525974982.12,5203274591.18,1322700842.55,20.3
UnitedHealthcare,Commercial,4890487273.8,3959521312.7,930966445.14,19.0
Medicare,Government,22480183773.64,21742414639.84,737769542.0,3.3
Medicaid,Government,22613263075.47,22109971660.32,503291415.15,2.2
Dual Eligible,Government,7420934879.0,7269976387.12,150959020.19,2.0
