DESCRIPTION,NUM_PROCEDURES,MIN_BASE_COST,MAX_BASE_COST,AVG_BASE_COST
Renal dialysis (procedure),15219802,379.98,1870.01,762.36675581
Depression screening (procedure),9400251,408.20,615.85,487.78291033
Assessment of health and social care needs (procedure),9359928,408.20,615.85,479.64369147
Assessment of substance use (procedure),5608509,408.20,615.85,482.67902382
Depression screening using Patient Health Questionnaire Two-Item score (procedure),5595833,408.20,600.50,466.41377088
Patient referral for dental care (procedure),5259957,408.20,615.85,479.76621221
Dental consultation and report (procedure),4998714,408.20,615.85,480.13151671
Medication Reconciliation (procedure),4893966,204.10,1201.00,452.94412183
Assessment of anxiety (procedure),4857057,408.20,615.85,479.72992806
Oral health education (procedure),4841283,408.20,615.85,480.14810455
Examination of gingivae (procedure),4809796,408.20,615.85,480.15124631
Removal of supragingival plaque and calculus from all teeth using dental instrument (procedure),4809796,408.20,615.85,480.15124631
Removal of subgingival plaque and calculus from all teeth using dental instrument (procedure),4809796,408.20,615.85,480.15124631
Dental care (regime/therapy),4809796,408.20,615.85,480.15124631
Hospice care (regime/therapy),3690292,408.20,615.85,478.43279548
Screening for domestic abuse (procedure),2801909,408.20,615.85,479.58012697
Screening for drug abuse (procedure),2618947,408.20,615.85,482.84825992
Assessment using Alcohol Use Disorders Identification Test - Consumption (procedure),2617490,408.20,615.85,482.75922992
Combined chemotherapy and radiation therapy (procedure),2463595,4845.69,29242.71,11073.94991202
Dental fluoride treatment (procedure),2406129,408.20,615.85,480.17564544
Assessment using Morse Fall Scale (procedure),2281320,408.20,615.85,476.97863306
Nursing care/supplementary surveillance (regime/therapy),2155826,408.20,615.85,481.92668691
Dental X-ray bitewing (procedure),1955955,408.20,600.50,467.13818160
Rehabilitation therapy (regime/therapy),1645137,408.20,615.85,463.55638447
Medication reconciliation (procedure),1456345,215.70,1231.70,508.70200358
Hearing examination (procedure),1435135,408.20,615.85,480.33747857
Evaluation of uterine fundal height,1265859,2140.06,12592.90,4838.68194640
Auscultation of the fetal heart,1265859,2140.06,12592.90,4839.16640773
Dental surgical procedure (procedure),905580,408.20,615.85,480.04815882
Postoperative care for dental procedure (regime/therapy),905580,408.20,615.85,480.04815882
Dental application of desensitizing medicament (procedure),874112,408.20,615.85,480.06157764
Depression screening using Patient Health Questionnaire Nine Item score (procedure),861986,24.49,49.26,32.35020164
Gingivectomy or gingivoplasty  per tooth (procedure),694634,408.20,615.85,480.09847497
Oxygen administration by mask (procedure),665232,408.20,615.85,480.00363790
Intramuscular injection,664820,1048.67,6170.79,2358.50115630
Subcutaneous immunotherapy,659334,4845.69,28513.84,10846.11389030
Sleep apnea assessment (procedure),643744,408.20,615.85,478.51457993
Placing subject in prone position (procedure),640671,408.20,615.85,480.02756936
Dental plain X-ray bitewing (procedure),589858,431.40,615.85,523.20100724
Professional / ancillary services care (regime/therapy),515563,408.20,615.85,482.07453898
Auscultation of the fetal heart (procedure),511243,2261.69,12914.80,5247.59314643
Evaluation of uterine fundal height (procedure),511243,2261.69,12914.80,5256.02320775
Physical examination procedure (procedure),508870,408.20,615.85,486.77763018
Application of composite dental filling material to dentin of tooth following fracture of tooth (procedure),481921,408.20,615.85,480.13349738
Restoration of tooth with coverage of all cusps using dental filling material (procedure),481635,408.20,615.85,480.14270379
Transplantation of kidney regime (regime/therapy),442308,408.20,615.85,477.79063555
Spirometry (procedure),411276,3172.24,19143.79,7197.69660607
Assessment using Car  Relax  Alone  Forget  Friends  Trouble Screening Test (procedure),371935,408.20,615.85,480.92860282
Initial patient assessment (procedure),299658,408.20,615.85,479.63477361
Development of individualized plan of care (procedure),299658,408.20,615.85,479.63477361
Anticipatory guidance (procedure),293133,408.20,615.85,480.83315652
High resolution computed tomography of chest without contrast (procedure),286291,408.20,615.85,480.23142663
Hemogram  automated  with RBC  WBC  Hgb  Hct  Indices  Platelet count  and manual WBC differential,284332,816.40,4804.00,1847.15546073
Colonoscopy,283692,4781.16,28134.14,10610.07735238
Physical therapy procedure (regime/therapy),276565,204.10,1231.70,467.67038674
Pulmonary rehabilitation (regime/therapy),253591,1554.42,3118.66,2030.24857866
Intramuscular injection (procedure),239658,1108.27,6328.53,2589.02422260
Blood group typing (procedure),235993,816.40,4926.80,1888.53681313
Occupational therapy (regime/therapy),223022,408.20,615.85,481.82340729
Renal disorder medication review (procedure),218379,408.20,615.85,477.81037957
Depression screening,217717,408.20,600.50,475.04224383
Ultrasound scan for fetal viability,217624,3831.92,22548.43,8642.73498539
Standard pregnancy test,217624,2140.06,12592.90,4832.90710459
Subcutaneous immunotherapy (procedure),216708,5121.09,29242.71,11893.59932388
Gonorrhea infection titer test (procedure),203608,816.40,4926.80,1888.54291575
Skin test for tuberculosis  Tine test (procedure),203608,816.40,4926.80,1887.62651605
Urine protein test,203608,816.40,4926.80,1891.16608306
Syphilis infectious titer test (procedure),203608,816.40,4926.80,1889.87394366
Detection of chromosomal aneuploidy in prenatal amniotic fluid specimen using fluorescence in situ hybridization screening technique (procedure),203453,816.40,4926.80,1891.72406821
Plain chest X-ray (procedure),198687,3106.63,18280.61,6896.14100042
Throat culture (procedure),196722,816.40,4926.80,1884.35455160
Notifications (procedure),181831,408.20,615.85,478.31758924
Certification procedure (procedure),181831,408.20,615.85,478.31758924
Measurement of respiratory function (procedure),179248,32.65,985.36,346.78486951
Echocardiography (procedure),166016,326.56,2463.40,897.07914924
Childbirth,158860,408.20,615.85,486.96277200
Electrocardiographic procedure (procedure),157613,408.20,3510.34,1310.79563044
Simple extraction of tooth (procedure),156216,408.20,615.85,479.91505371
Rubella screening,145078,816.40,4804.00,1846.32683357
Urine culture,145078,816.40,4804.00,1852.15229042
Hepatitis C antibody  confirmatory test,145078,816.40,4804.00,1844.38752788
Human immunodeficiency virus antigen test,145078,816.40,4804.00,1844.95152284
Measurement of Varicella-zoster virus antibody,145078,816.40,4804.00,1845.31467431
Cytopathology procedure  preparation of smear  genital source,145078,816.40,4804.00,1841.57721233
Urine screening test for diabetes,145078,816.40,4804.00,1845.97583658
Hepatitis B Surface Antigen Measurement,145078,816.40,4804.00,1840.51767794
Chlamydia antigen test,145078,816.40,4804.00,1847.01231427
Movement therapy (regime/therapy),142192,408.20,615.85,482.14537548
Take oral or dental impression (procedure),140899,408.20,615.85,479.54250967
Fitting of denture (procedure),140718,408.20,615.85,479.51851810
AFP test - antenatal,139306,816.40,4804.00,1844.10251210
Fetal anatomy study,139306,408.20,600.50,475.03037235
Administration of diphtheria  pertussis  and tetanus vaccine,139254,1048.67,6170.79,2371.76115566
Urine screening for glucose,139254,816.40,4804.00,1852.61172045
Physical examination  complete (procedure),136417,408.20,615.85,478.22114575
Streptococcus pneumoniae group B antigen assay,129854,816.40,4804.00,1849.80066806
Face mask (physical object),121134,0.31,7.08,2.19564202
Urinalysis with reflex to microscopy and culture (procedure),118336,408.20,615.85,482.71236538
Hemogram  automated  with red blood cells  white blood cells  hemoglobin  hematocrit  indices  platelet count  and manual white blood cell differential (procedure),114765,862.80,4926.80,2007.12205350
Cognitive and behavioral therapy (regime/therapy),113140,4190.41,25288.26,9624.64350071
History AND physical examination (procedure),110307,408.20,615.85,481.78049951
