Procedure Code,Procedure Name,Payer Name,Payer Type,Total Billed,Total Paid,Gap: Billed Minus Paid,Gap as % of Billed,Number of Claims
243085009,Oral health education (procedure),Medicaid,Government,"$357,698,447","$357,698,038",$408,0.0%,"776,394"
34043003,Dental consultation and report (procedure),NO_INSURANCE,Self-Pay / Uninsured,"$115,298,039","$115,297,631",$408,0.0%,"236,779"
1260010008,Removal of subgingival plaque and calculus from all teeth using dental instrument (procedure),NO_INSURANCE,Self-Pay / Uninsured,"$111,371,355","$111,370,947",$408,0.0%,"228,706"
185345009,Encounter for symptom,Cigna Health,Commercial,"$10,753,891","$10,753,820",$72,0.0%,"153,085"
866429,(no description on file),Humana,Commercial,$283,$283,$0,0.0%,1
52052004,Rehabilitation therapy (regime/therapy),NO_INSURANCE,Self-Pay / Uninsured,"$38,354,116","$38,354,116",$0,0.0%,"79,574"
85548006,Episiotomy,Humana,Commercial,"$32,418,162","$32,418,162",$0,0.0%,"6,028"
103750000,Sleep apnea assessment (procedure),Medicare,Government,"$142,755,117","$142,755,117",$0,0.0%,"291,882"
979494,(no description on file),Blue Cross Blue Shield,Commercial,$276,$276,$0,0.0%,1
106892,(no description on file),Humana,Commercial,"$66,208,676","$66,208,676",$0,0.0%,"135,908"
859088,(no description on file),Dual Eligible,Government,"$2,262,087","$2,262,087",$0,0.0%,"9,817"
310861008,Chlamydia antigen test,Medicare,Government,"$21,325,662","$21,325,662",$0,0.0%,"11,029"
1535362,(no description on file),Medicare,Government,"$120,042,504","$120,042,504",$0,0.0%,"466,976"
308136,(no description on file),UnitedHealthcare,Commercial,"$177,152","$177,152",$0,0.0%,"85,982"
313782,(no description on file),Medicare,Government,"$10,785,792","$10,785,792",$0,0.0%,"56,431"
49,(no description on file),Medicaid,Government,"$12,447,128","$12,447,128",$0,0.0%,"91,523"
854235,(no description on file),Medicaid,Government,"$546,495","$546,495",$0,0.0%,"44,496"
25656009,Physical examination  complete (procedure),Dual Eligible,Government,"$10,477,630","$10,477,630",$0,0.0%,"23,076"
834102,(no description on file),Humana,Commercial,"$893,756","$893,756",$0,0.0%,"4,233"
108515,(no description on file),Cigna Health,Commercial,"$2,189,483","$2,189,483",$0,0.0%,"8,482"
66348005,Childbirth,Anthem,Commercial,"$4,554,734","$4,554,734",$0,0.0%,"9,402"
65200003,Insertion of intrauterine contraceptive device,UnitedHealthcare,Commercial,"$47,162,756","$47,162,756",$0,0.0%,"5,334"
861467,(no description on file),Medicare,Government,"$607,098","$607,098",$0,0.0%,"6,194"
61746007,Taking patient vital signs (procedure),Anthem,Commercial,"$845,712","$845,712",$0,0.0%,"1,729"
834102,(no description on file),Aetna,Commercial,"$742,103","$742,103",$0,0.0%,"3,472"
904419,(no description on file),Aetna,Commercial,"$62,596","$62,596",$0,0.0%,"6,149"
993770,(no description on file),Aetna,Commercial,"$3,027,764","$3,027,764",$0,0.0%,"11,657"
162676008,Brief general examination (procedure),Aetna,Commercial,"$883,726","$883,726",$0,0.0%,"6,514"
424441002,Prenatal initial visit,Anthem,Commercial,"$2,949,535","$2,949,535",$0,0.0%,"25,230"
834102,(no description on file),Medicare,Government,"$1,509,794","$1,509,794",$0,0.0%,"7,127"
370789001,Development of individualized plan of care (procedure),Anthem,Commercial,"$2,669,501","$2,669,501",$0,0.0%,"5,473"
83,(no description on file),Aetna,Commercial,"$1,411,816","$1,411,816",$0,0.0%,"10,381"
831533,(no description on file),Medicaid,Government,"$10,412,600","$10,412,600",$0,0.0%,"13,023"
449411000124106,Admission to skilled nursing facility (procedure),Dual Eligible,Government,"$1,019,022","$1,019,022",$0,0.0%,"8,682"
979485,(no description on file),NO_INSURANCE,Self-Pay / Uninsured,"$20,665","$20,665",$0,0.0%,"3,901"
703423002,Combined chemotherapy and radiation therapy (procedure),Medicaid,Government,"$227,516,677","$227,516,677",$0,0.0%,"6,309"
859088,(no description on file),UnitedHealthcare,Commercial,"$1,169,455","$1,169,455",$0,0.0%,"4,613"
229095001,Exercise class,Aetna,Commercial,"$1,176,976","$1,176,976",$0,0.0%,"2,426"
1599803,(no description on file),Medicare,Government,"$2,668,353","$2,668,353",$0,0.0%,"4,529"
2563431,(no description on file),NO_INSURANCE,Self-Pay / Uninsured,"$671,376","$671,376",$0,0.0%,"2,727"
705129,(no description on file),Aetna,Commercial,"$535,458","$535,458",$0,0.0%,"2,808"
63332003,History AND physical examination (procedure),UnitedHealthcare,Commercial,"$1,798,129","$1,798,129",$0,0.0%,"3,580"
23745001,Documentation procedure (procedure),Anthem,Commercial,"$492,509","$492,509",$0,0.0%,"1,013"
169673001,Antenatal RhD antibody screening,Anthem,Commercial,"$3,733,039","$3,733,039",$0,0.0%,"1,974"
133899007,Postoperative care (regime/therapy),Blue Cross Blue Shield,Commercial,"$1,130,391","$1,130,391",$0,0.0%,"2,207"
309097,(no description on file),UnitedHealthcare,Commercial,"$990,222","$990,222",$0,0.0%,"1,321"
63697000,Cardiopulmonary bypass operation (procedure),Blue Cross Blue Shield,Commercial,"$246,399","$246,399",$0,0.0%,488
79345008,Excision of maxillary torus palatinus (procedure),Medicare,Government,"$1,220,912","$1,220,912",$0,0.0%,"2,494"
54550000,Electroencephalogram (procedure),UnitedHealthcare,Commercial,"$2,720,861","$2,720,861",$0,0.0%,288
895996,(no description on file),Cigna Health,Commercial,"$4,032,024","$4,032,024",$0,0.0%,"15,492"
32485007,Hospital admission (procedure),Cigna Health,Commercial,"$390,546","$390,546",$0,0.0%,"3,361"
1870230,(no description on file),Aetna,Commercial,"$280,058","$280,058",$0,0.0%,"1,284"
386478007,Triage emergency center (procedure),Cigna Health,Commercial,"$872,240","$872,240",$0,0.0%,"1,790"
1860480,(no description on file),UnitedHealthcare,Commercial,"$1,970","$1,970",$0,0.0%,64
410538000,Scheduling (procedure),NO_INSURANCE,Self-Pay / Uninsured,"$513,794","$513,794",$0,0.0%,"1,057"
80146002,Appendectomy,Cigna Health,Commercial,"$5,960,059","$5,960,059",$0,0.0%,490
14736009,History and physical examination with evaluation and management of patient (procedure),UnitedHealthcare,Commercial,"$640,904","$640,904",$0,0.0%,"1,274"
302761001,Walking exercise test (procedure),Humana,Commercial,"$681,556","$681,556",$0,0.0%,"1,352"
1856546,(no description on file),Blue Cross Blue Shield,Commercial,"$31,269","$31,269",$0,0.0%,"1,410"
1433873,(no description on file),Medicaid,Government,"$305,559","$305,559",$0,0.0%,"1,307"
223495004,Preparation of patient for procedure (regime/therapy),UnitedHealthcare,Commercial,"$314,754","$314,754",$0,0.0%,630
807283,(no description on file),NO_INSURANCE,Self-Pay / Uninsured,"$34,484","$34,484",$0,0.0%,"1,586"
26212005,Replacement of aortic valve (procedure),Medicare,Government,"$214,395","$214,395",$0,0.0%,437
313191000,Injection of epinephrine (procedure),UnitedHealthcare,Commercial,"$1,460,136","$1,460,136",$0,0.0%,582
24623002,Screening mammography (procedure),Cigna Health,Commercial,"$20,727","$20,727",$0,0.0%,171
772071006,Referral to dentist (procedure),Cigna Health,Commercial,"$28,880","$28,880",$0,0.0%,59
367494004,Premature birth of newborn (finding),Blue Cross Blue Shield,Commercial,"$116,329","$116,329",$0,0.0%,229
713024005,Plain X-ray of wrist region (procedure),Aetna,Commercial,"$154,582","$154,582",$0,0.0%,291
180207008,Intravenous blood transfusion of packed cells (procedure),Blue Cross Blue Shield,Commercial,"$841,785","$841,785",$0,0.0%,375
234262008,Excision of axillary lymph node (procedure),Medicaid,Government,"$111,085","$111,085",$0,0.0%,101
91602002,Thoracentesis (procedure),Anthem,Commercial,"$385,310","$385,310",$0,0.0%,28
197379,(no description on file),Cigna Health,Commercial,"$3,315","$3,315",$0,0.0%,14
979471,(no description on file),Medicare,Government,"$33,219","$33,219",$0,0.0%,127
15081005,Pulmonary rehabilitation (regime/therapy),Aetna,Commercial,"$528,217","$528,217",$0,0.0%,264
310261,(no description on file),Medicare,Government,"$1,924,594","$1,924,594",$0,0.0%,156
2001499,(no description on file),NO_INSURANCE,Self-Pay / Uninsured,"$50,688","$50,688",$0,0.0%,518
312853008,Medical records review (procedure),Cigna Health,Commercial,"$36,830","$36,830",$0,0.0%,75
1997015,(no description on file),Anthem,Commercial,"$35,964","$35,964",$0,0.0%,134
866436,(no description on file),Humana,Commercial,"$10,745","$10,745",$0,0.0%,43
310436,(no description on file),Cigna Health,Commercial,"$4,855","$4,855",$0,0.0%,117
713024005,Plain X-ray of wrist region (procedure),Dual Eligible,Government,"$72,159","$72,159",$0,0.0%,142
597195,(no description on file),NO_INSURANCE,Self-Pay / Uninsured,$29,$29,$0,0.0%,27
446987006,Determination of susceptibility of Human immunodeficiency virus 1 to panel of antiretroviral drugs using genotypic technique (procedure),UnitedHealthcare,Commercial,"$12,667","$12,667",$0,0.0%,28
171121004,Human immunodeficiency virus screening (procedure),NO_INSURANCE,Self-Pay / Uninsured,"$21,234","$21,234",$0,0.0%,44
122548005,Biopsy of breast (procedure),UnitedHealthcare,Commercial,"$583,456","$583,456",$0,0.0%,152
445912000,Excision of fallopian tube and surgical removal of ectopic pregnancy,Blue Cross Blue Shield,Commercial,"$902,716","$902,716",$0,0.0%,118
1536148,(no description on file),Cigna Health,Commercial,"$24,549","$24,549",$0,0.0%,92
313398001,Hepatitis antibody test (procedure),Medicare,Government,"$9,110","$9,110",$0,0.0%,18
165355002,Patient informed - test result (situation),Medicare,Government,"$67,992","$67,992",$0,0.0%,136
80146002,Appendectomy,Dual Eligible,Government,"$1,504,556","$1,504,556",$0,0.0%,141
749196,(no description on file),UnitedHealthcare,Commercial,"$31,061","$31,061",$0,0.0%,123
309078,(no description on file),NO_INSURANCE,Self-Pay / Uninsured,"$10,913","$10,913",$0,0.0%,43
349199,(no description on file),Medicare,Government,"$18,008","$18,008",$0,0.0%,74
141962,(no description on file),UnitedHealthcare,Commercial,"$20,055","$20,055",$0,0.0%,77
311353,(no description on file),Dual Eligible,Government,"$13,782","$13,782",$0,0.0%,60
