COLUMN,TYPE,NULL_COUNT,NULL_COUNT_SAMPLE,NULL_RATE_PCT,DISTINCT_APPROX,DISTINCT_APPROX_SAMPLE,MIN,MAX,AVG,MIN_LEN,MAX_LEN,AVG_LEN
CLAIM_ID,NUMBER,,0,0.0,,1216913,68120876,192273896,130175897.795307,,,
PATIENT_ID,NUMBER,,0,0.0,,545752,1008401,2430534,1744478.990396,,,
PROVIDER_ID,NUMBER,,0,0.0,,3413,3057300,3061592,3058866.396252,,,
PRIMARY_PATIENT_INSURANCE_ID,NUMBER,,128782,10.372,,118,1000000,1000119,1000040.985353,,,
SECONDARY_PATIENT_INSURANCE_ID,NUMBER,,937483,75.501,,20,1000004,1000115,1000049.091614,,,
DEPARTMENTID,NUMBER,,0,0.0,,11,1,20,5.186130,,,
PATIENTDEPARTMENTID,NUMBER,,0,0.0,,11,1,20,5.186130,,,
DIAGNOSIS1,NUMBER,,0,0.0,,239,1734006,10939881000119105,9073955628296.026665,,,
DIAGNOSIS2,NUMBER,,899105,72.41,,251,4557003,10939881000119105,53648066817171.989573,,,
DIAGNOSIS3,NUMBER,,1124400,90.554,,162,1734006,10939881000119105,120333550631691.699746,,,
DIAGNOSIS4,NUMBER,,1204535,97.008,,101,7200002,10939881000119105,165118736467615.996608,,,
DIAGNOSIS5,NUMBER,,1228569,98.944,,75,15777000,10939881000119105,132292511135410.714297,,,
DIAGNOSIS6,NUMBER,,1236404,99.575,,54,7200002,10939881000119105,95196510832583.395265,,,
DIAGNOSIS7,NUMBER,,1239633,99.835,,44,32911000,10939881000119105,95500678627740.581667,,,
DIAGNOSIS8,NUMBER,,1241359,99.974,,23,36955009,132281000119108,2035526864395.784615,,,
REFERRING_PROVIDER_ID,NUMBER,,1241684,100.0,,0,,,,,,
ENCOUNTER_ID,NUMBER,,0,0.0,,1244387,3065641,67608171,35179946.158348,,,
CURRENTILLNESSDATE,TIMESTAMP_NTZ,,0,0.0,,1039416,1914-02-06T19:40:17,2024-11-04T13:40:26,,,,
SERVICEDATE,TIMESTAMP_NTZ,,0,0.0,,1203154,1914-02-06T19:40:17,2024-11-04T13:40:26,,,,
SUPERVISING_PROVIDER_ID,NUMBER,,0,0.0,,3413,3057300,3061592,3058866.396252,,,
STATUS1,TEXT,,0,0.0,,2,,,,6,6,6.000000
STATUS2,TEXT,,304250,24.503,,2,,,,6,6,6.000000
STATUSP,TEXT,,0,0.0,,2,,,,6,6,6.000000
OUTSTANDING1,NUMBER,,1241684,100.0,,0,,,,,,
OUTSTANDING2,NUMBER,,1241684,100.0,,0,,,,,,
OUTSTANDINGP,NUMBER,,1241684,100.0,,0,,,,,,
LASTBILLEDDATE1,TIMESTAMP_NTZ,,0,0.0,,1214117,1914-02-06T19:55:17,2024-11-04T21:42:32,,,,
LASTBILLEDDATE2,TIMESTAMP_NTZ,,304250,24.503,,910618,1914-02-06T19:55:17,2024-11-04T17:56:24,,,,
LASTBILLEDDATEP,TIMESTAMP_NTZ,,0,0.0,,1214117,1914-02-06T19:55:17,2024-11-04T21:42:32,,,,
HEALTHCARECLAIMTYPEID1,NUMBER,,0,0.0,,2,1,2,1.556735,,,
HEALTHCARECLAIMTYPEID2,NUMBER,,0,0.0,,3,0,2,1.185343,,,
SYNTHEA_CITY,TEXT,,0,0.0,,12,,,,5,14,8.463311
