COLUMN,TYPE,NULL_COUNT,NULL_COUNT_SAMPLE,NULL_RATE_PCT,DISTINCT_APPROX,DISTINCT_APPROX_SAMPLE,MIN,MAX,AVG,MIN_LEN,MAX_LEN,AVG_LEN
CLAIMS_TX_ID,NUMBER,,0,0.0,,8782243,1000127,910154991,444615663.896040,,,
CLAIM_ID,NUMBER,,0,0.0,,8117609,68120738,192273976,131938823.850102,,,
CHARGEID,NUMBER,,0,0.0,,8801971,0,376560044,101764938.209563,,,
PATIENT_ID,NUMBER,,0,0.0,,1304315,1008400,2430534,1724547.594153,,,
TYPE,TEXT,,0,0.0,,4,,,,6,11,7.640740
AMOUNT,NUMBER,,4810200,54.209,,195257,0.00,479266.25,454.38142936,,,
METHOD,TEXT,,5280880,59.513,,5,,,,2,6,5.319629
FROMDATE,TIMESTAMP_NTZ,,0,0.0,,8111773,1914-01-25T14:57:26,2024-11-09T01:03:14,,,,
TODATE,TIMESTAMP_NTZ,,0,0.0,,7954721,1914-01-25T15:12:26,2024-11-09T01:18:14,,,,
PLACE_OF_SERVICE_ID,NUMBER,,0,0.0,,3908,1000200,1004493,1001829.225217,,,
PROCEDURECODE,NUMBER,,0,0.0,,914,3,16335031000119103,25148736475401.982506,,,
MODIFIER1,TEXT,,8873443,100.0,,0,,,,,,
MODIFIER2,TEXT,,8873443,100.0,,0,,,,,,
DIAGNOSISREF1,NUMBER,,0,0.0,,1,1,1,1.000000,,,
DIAGNOSISREF2,NUMBER,,6049892,68.18,,1,2,2,2.000000,,,
DIAGNOSISREF3,NUMBER,,7987109,90.011,,1,3,3,3.000000,,,
DIAGNOSISREF4,NUMBER,,8612047,97.054,,1,4,4,4.000000,,,
UNITS,NUMBER,,0,0.0,,1,1,1,1.000000,,,
DEPARTMENTID,NUMBER,,0,0.0,,11,1,20,5.136297,,,
NOTES,TEXT,,0,0.0,,1065,,,,3,163,41.918292
UNITAMOUNT,NUMBER,,0,0.0,,166305,0.00,479266.25,181.63955634,,,
TRANSFEROUTID,NUMBER,,7653876,86.256,,1221783,27,376559959,94452266.572680,,,
TRANSFERTYPE,TEXT,,4810200,54.209,,3,,,,1,1,1.000000
PAYMENTS,NUMBER,,0,0.0,,191544,0.00,374526.84,180.85390052,,,
ADJUSTMENTS,NUMBER,,0,0.0,,1,0,0,0.000000,,,
TRANSFERS,NUMBER,,6436239,72.534,,99341,0.01,164512.00,191.73534775,,,
OUTSTANDING,NUMBER,,0,0.0,,125060,0.00,218819.02,74.46574150,,,
ENCOUNTER_ID,NUMBER,,2,0.0,,7920061,3065531,67608190,36113207.549980,,,
LINENOTE,TEXT,,8873443,100.0,,0,,,,,,
FEESCHEDULEID,NUMBER,,2,0.0,,1,1,1,1.000000,,,
PROVIDER_ID,NUMBER,,2,0.0,,3907,3057300,3061593,3058929.225569,,,
SUPERVISING_PROVIDER_ID,NUMBER,,2,0.0,,3907,3057300,3061593,3058929.225569,,,
SYNTHEA_CITY,TEXT,,0,0.0,,12,,,,5,14,8.426876
