COLUMN,TYPE,NULL_COUNT,NULL_COUNT_SAMPLE,NULL_RATE_PCT,DISTINCT_APPROX,DISTINCT_APPROX_SAMPLE,MIN,MAX,AVG,MIN_LEN,MAX_LEN,AVG_LEN
ENCOUNTER_ID,NUMBER,,0,0.0,,654646,3065800,67608152,35371755.171632,,,
ENCOUNTER_START,TIMESTAMP_NTZ,,0,0.0,,657169,1914-04-26T03:15:08,2024-11-04T14:49:05,,,,
ENCOUNTER_STOP,TIMESTAMP_NTZ,,0,0.0,,656281,1914-04-26T03:30:08,2024-11-04T17:09:50,,,,
PATIENT_ID,NUMBER,,0,0.0,,395850,1008401,2430526,1740081.472828,,,
ORGANIZATION_ID,NUMBER,,0,0.0,,3382,1000200,1004492,1001777.519930,,,
PROVIDER_ID,NUMBER,,0,0.0,,3345,3057300,3061592,3058877.519930,,,
PAYER_ID,NUMBER,,0,0.0,,121,1000000,1000119,1000040.664342,,,
ENCOUNTERCLASS,TEXT,,0,0.0,,10,,,,3,10,9.510133
CODE,NUMBER,,0,0.0,,60,1505002,453131000124105,623089692846.448394,,,
DESCRIPTION,TEXT,,0,0.0,,86,,,,12,75,33.666153
BASE_ENCOUNTER_COST,NUMBER,,0,0.0,,91,59.64,183.23,93.81754511,,,
TOTAL_CLAIM_COST,NUMBER,,0,0.0,,137182,59.64,480151.07,2695.84071843,,,
PAYER_COVERAGE,NUMBER,,0,0.0,,137342,0.00,480151.07,2019.71992762,,,
REASONCODE,NUMBER,,233318,36.178,,179,1734006,442571000124108,795311050447.943157,,,
REASONDESCRIPTION,TEXT,,233318,36.178,,249,,,,4,78,33.588252
SYNTHEA_CITY,TEXT,,0,0.0,,12,,,,5,14,8.441810
