COLUMN,TYPE,NULL_COUNT,NULL_COUNT_SAMPLE,NULL_RATE_PCT,DISTINCT_APPROX,DISTINCT_APPROX_SAMPLE,MIN,MAX,AVG,MIN_LEN,MAX_LEN,AVG_LEN
PATIENT_ID,NUMBER,0,,0.0,1452951,,1008400,2430535,1719664.722169,,,
BIRTHDATE,DATE,0,,0.0,39924,,1913-11-11,2024-11-04,,,,
DEATHDATE,DATE,1222135,,85.966,26300,,1915-01-07,2024-11-09,,,,
SSN,TEXT,0,,0.0,656660,,,,,11,11,11.000000
DRIVERS,TEXT,247286,,17.394,89624,,,,,9,9,9.000000
PASSPORT,TEXT,312416,,21.975,1115927,,,,,4,10,9.876488
PREFIX,TEXT,280342,,19.719,3,,,,,3,4,3.331621
FIRST,TEXT,0,,0.0,5301,,,,,2,16,5.954401
MIDDLE,TEXT,284347,,20.001,5301,,,,,2,16,5.956151
LAST,TEXT,0,,0.0,1135,,,,,3,13,6.556015
SUFFIX,TEXT,1409217,,99.125,3,,,,,2,3,2.337889
MAIDEN,TEXT,1043172,,73.377,1135,,,,,3,13,6.549722
MARITAL,TEXT,468679,,32.967,4,,,,,1,1,1.000000
RACE,TEXT,0,,0.0,6,,,,,5,8,5.039756
ETHNICITY,TEXT,0,,0.0,2,,,,,8,11,10.546836
GENDER,TEXT,0,,0.0,2,,,,,1,1,1.000000
BIRTHPLACE,TEXT,0,,0.0,11469,,,,,13,80,23.201614
ADDRESS,TEXT,0,,0.0,1444254,,,,,11,40,21.177110
CITY,TEXT,0,,0.0,12,,,,,5,14,8.235750
STATE,TEXT,0,,0.0,11,,,,,4,20,7.653667
COUNTY,TEXT,0,,0.0,12,,,,,11,20,14.913881
FIPS,NUMBER,0,,0.0,21,,6075,49035,28348.922066,,,
ZIP,NUMBER,0,,0.0,432,,2108,94158,49381.540394,,,
LAT,NUMBER,0,,0.0,1423085,,25.669506217141656,42.488875650921415,39.089081702359636,,,
LON,NUMBER,0,,0.0,1428951,,-123.08220981907691,-70.92488827544481,-87.06324674194673,,,
HEALTHCARE_EXPENSES,NUMBER,0,,0.0,1290435,,100.00,7312758.00,201730.09280571,,,
HEALTHCARE_COVERAGE,NUMBER,0,,0.0,1310093,,0.00,22433750.10,412656.84518063,,,
INCOME,NUMBER,0,,0.0,230248,,0,998949,78416.960587,,,
SYNTHEA_CITY,TEXT,0,,0.0,12,,,,,5,14,8.401147
