COLUMN,TYPE,NULL_COUNT,NULL_COUNT_SAMPLE,NULL_RATE_PCT,DISTINCT_APPROX,DISTINCT_APPROX_SAMPLE,MIN,MAX,AVG,MIN_LEN,MAX_LEN,AVG_LEN
PAYER_ID,NUMBER,0,,0.0,121,,1000000,1000119,1000059.500000,,,
NAME,TEXT,0,,0.0,10,,,,,5,22,10.800000
ADDRESS,TEXT,120,,100.0,0,,,,,,,
CITY,TEXT,120,,100.0,0,,,,,,,
STATE_HEADQUARTERED,TEXT,120,,100.0,0,,,,,,,
ZIP,TEXT,120,,100.0,0,,,,,,,
PHONE,TEXT,120,,100.0,0,,,,,,,
AMOUNT_COVERED,NUMBER,0,,0.0,110,,0.00,101876331040.24,4888408348.60891667,,,
AMOUNT_UNCOVERED,NUMBER,0,,0.0,120,,1820719.07,51284259119.52,2389582161.44775000,,,
REVENUE,NUMBER,0,,0.0,108,,0.00,5735554092.00,645708421.40183333,,,
COVERED_ENCOUNTERS,NUMBER,0,,0.0,109,,0,37187314,1756643.158333,,,
UNCOVERED_ENCOUNTERS,NUMBER,0,,0.0,13,,0,17644573,473924.725000,,,
COVERED_MEDICATIONS,NUMBER,0,,0.0,108,,0,19665387,1307292.625000,,,
UNCOVERED_MEDICATIONS,NUMBER,0,,0.0,13,,0,10070328,250715.566667,,,
COVERED_PROCEDURES,NUMBER,0,,0.0,110,,0,78848021,3756344.791667,,,
UNCOVERED_PROCEDURES,NUMBER,0,,0.0,13,,0,37562172,1030621.125000,,,
COVERED_IMMUNIZATIONS,NUMBER,0,,0.0,109,,0,11589261,485981.916667,,,
UNCOVERED_IMMUNIZATIONS,NUMBER,0,,0.0,13,,0,4694416,144914.058333,,,
UNIQUE_CUSTOMERS,NUMBER,0,,0.0,121,,1206,273309,29084.516667,,,
QOLS_AVG,NUMBER,0,,0.0,119,,0.19123567440678002,1.12443136150084830,0.81606961794773848,,,
MEMBER_MONTHS,NUMBER,0,,0.0,121,,88872,108916092,6286089.400000,,,
SYNTHEA_CITY,TEXT,0,,0.0,12,,,,,5,14,8.666667
