COLUMN,TYPE,NULL_COUNT,NULL_COUNT_SAMPLE,NULL_RATE_PCT,DISTINCT_APPROX,DISTINCT_APPROX_SAMPLE,MIN,MAX,AVG,MIN_LEN,MAX_LEN,AVG_LEN
PROVIDER_ID,NUMBER,0,,0.0,4074,,3057300,3061593,3059473.693852,,,
ORGANIZATION_ID,NUMBER,0,,0.0,4057,,1000200,1004493,1002373.693852,,,
NAME,TEXT,0,,0.0,3445,,,,,7,27,13.547348
GENDER,TEXT,0,,0.0,2,,,,,1,1,1.000000
SPECIALITY,TEXT,0,,0.0,1,,,,,16,16,16.000000
ADDRESS,TEXT,0,,0.0,3822,,,,,9,60,19.054536
CITY,TEXT,0,,0.0,431,,,,,4,20,8.635845
STATE,TEXT,0,,0.0,11,,,,,2,2,2.000000
ZIP,NUMBER,0,,0.0,3592,,1420,981172207,449836032.267229,,,
LAT,NUMBER,0,,0.0,2896,,25.686693900000000,42.610115000000000,37.320353957738879,,,
LON,NUMBER,0,,0.0,2863,,-122.80895425664570,-70.87031575425090,-86.50590485756250,,,
ENCOUNTERS,NUMBER,0,,0.0,3422,,1,6678812,66353.046108,,,
PROCEDURES,NUMBER,0,,0.0,1,,0,0,0.000000,,,
SYNTHEA_CITY,TEXT,0,,0.0,12,,,,,5,14,7.661874
