Condition,Total billed,People affected,Cost per person
Chronic kidney disease stage 4 (disorder),4391639551,37037,118574
Normal pregnancy,3369469264,178616,18864
Malignant neoplasm of breast (disorder),1094711018,17582,62263
End-stage renal disease (disorder),1004387437,14528,69135
COVID-19,938324734,23027,40749
Abnormal findings diagnostic imaging heart+coronary circulat (finding),793695625,19908,39868
Primary small cell malignant neoplasm of lung  TNM stage 1 (disorder),769007334,427,1800954
Child attention deficit disorder,752948402,7232,104113
Ischemic heart disease (disorder),726643399,46534,15615
Gingivitis (disorder),680397120,800475,850
Dependent drug abuse (disorder),622280745,97898,6356
Fracture of bone (disorder),407234912,82213,4953
Infection of tooth (disorder),352660516,58182,6061
Chronic congestive heart failure (disorder),338872250,9829,34477
Impacted molars,318073629,6984,45543
Non-small cell carcinoma of lung  TNM stage 1 (disorder),305860560,2384,128297
Malignant tumor of colon,288070634,4784,60215
Chronic pain (finding),275377466,31047,8870
Acute viral pharyngitis (disorder),272078918,313989,867
Loss of teeth (disorder),209508980,106191,1973
Sepsis (disorder),203887177,5130,39744
Overlapping malignant neoplasm of colon,169195033,5209,32481
Alzheimer's disease (disorder),163900031,19275,8503
Laceration - injury (disorder),157297987,85027,1850
Myocardial infarction (disorder),147703092,12567,11753
Dental filling lost (finding),146903117,34912,4208
Loose dental filling (finding),146545614,34846,4206
Leaking dental filling (finding),146498025,34799,4210
Fractured dental filling (finding),145815254,34683,4204
Stroke,138019479,2597,53146
Pulmonary emphysema (disorder),136317695,5904,23089
Acute non-ST segment elevation myocardial infarction (disorder),130676973,6922,18878
Osteoporosis (disorder),126370796,12486,10121
Gingival disease (disorder),125250500,147350,850
Suspected COVID-19,123197609,121188,1017
Anemia (disorder),121478486,67419,1802
Acute ST segment elevation myocardial infarction (disorder),109734749,8227,13338
Chronic obstructive bronchitis (disorder),107625431,4815,22352
Viral sinusitis (disorder),105288113,494629,213
Streptococcal sore throat (disorder),104575267,83554,1252
Allergy to substance (finding),97063899,42809,2267
Essential hypertension (disorder),91383065,62669,1458
Body mass index 30+ - obesity (finding),76393125,59466,1285
Injury of medial collateral ligament of knee,68226232,4121,16556
Polyp of colon,66538674,40169,1656
Hyperlipidemia,66444075,111663,595
Appendicitis,65360251,5515,11851
Acute bronchitis (disorder),63474773,271285,234
Atrial fibrillation (disorder),63363449,2642,23983
Severe anxiety (panic) (finding),60576965,40629,1491
Alveolitis of jaw (disorder),60030421,23293,2577
Unhealthy alcohol drinking behavior (finding),59549814,39960,1490
Rupture of patellar tendon,56240424,3358,16748
Human immunodeficiency virus infection (disorder),55032804,2514,21891
Chronic kidney disease stage 1 (disorder),54504254,31824,1713
Seizure disorder,53915127,3868,13939
Aortic valve stenosis (disorder),53214478,3763,14142
Injury of anterior cruciate ligament,48959098,3006,16287
Chronic kidney disease stage 2 (disorder),48255449,30219,1597
Otitis media,46826486,79046,592
Prediabetes,45844294,36093,1270
Primary dental caries (disorder),45709470,166232,275
Chronic kidney disease stage 3 (disorder),38117051,24836,1535
Metabolic syndrome X (disorder),37067922,25417,1458
Secondary malignant neoplasm of colon,34001317,598,56858
Complete miscarriage (disorder),31900370,20828,1532
Aortic valve regurgitation (disorder),31884307,3046,10468
Tubal pregnancy,29230396,4167,7015
