Rank,Condition Code,Condition,Total Billed,% of Attributable,Cumulative % of Attributable,% of All Spend,Cumulative % of All Spend,Patients,Claims,Cost per Patient,Median Cost per Patient,Cost per Claim,Claims per Patient,% Inpatient,% Borne by Patient
1,72892002,Normal pregnancy,28933632566.26,39.81,39.81,29.19,29.19,178616,1988559,161987.91,149054.78,14550.05,11.1,0.0,17.0
2,419199007,Allergy to substance (finding),8636357451.32,11.88,51.69,8.71,37.91,42809,842950,201741.63,66616.20,10245.40,19.7,0.0,9.9
3,66383009,Gingivitis (disorder),8533540680.79,11.74,63.43,8.61,46.52,800475,5533886,10660.60,7176.38,1542.05,6.9,0.0,28.5
4,431857002,Chronic kidney disease stage 4 (disorder),4391639550.70,6.04,69.47,4.43,50.95,37037,9573530,118574.39,88813.53,458.73,258.5,0.0,12.4
5,424132000,Non-small cell carcinoma of lung  TNM stage 1 (disorder),3376088860.27,4.64,74.12,3.41,54.35,2384,609881,1416144.66,1317423.92,5535.65,255.8,99.6,5.4
6,68496003,Polyp of colon,1313207268.04,1.81,75.92,1.32,55.68,40169,65497,32692.06,31375.20,20049.88,1.6,0.0,17.6
7,254837009,Malignant neoplasm of breast (disorder),1094711018.35,1.51,77.43,1.10,56.78,17582,349988,62263.17,21033.56,3127.85,19.9,8.7,8.0
8,46177005,End-stage renal disease (disorder),1004387436.56,1.38,78.81,1.01,57.80,14528,2190039,69134.60,48965.87,458.62,150.7,0.0,12.8
9,18718003,Gingival disease (disorder),942134263.72,1.30,80.11,0.95,58.75,147350,254407,6393.85,5587.22,3703.26,1.7,0.0,26.2
10,840539006,COVID-19,938324733.91,1.29,81.40,0.95,59.69,23027,858460,40748.89,26648.89,1093.03,37.3,99.9,13.6
11,312608009,Laceration - injury (disorder),831319863.05,1.14,82.54,0.84,60.53,85027,173588,9777.13,7654.06,4789.04,2.0,0.0,28.0
12,274531002,Abnormal findings diagnostic imaging heart+coronary circulat (finding),793695625.22,1.09,83.63,0.80,61.33,19908,207965,39868.17,33580.07,3816.49,10.4,36.3,12.4
13,67811000119102,Primary small cell malignant neoplasm of lung  TNM stage 1 (disorder),769007333.77,1.06,84.69,0.78,62.11,427,135651,1800953.94,1779173.78,5669.01,317.7,99.7,6.4
