Rank by total spend,Condition,Hospitals compared,Claims covered,Cheapest hospital,Cheaper quarter starts at,Typical hospital,Dearer quarter starts at,Dearest hospital,Dearest vs cheapest,Variation score
1,Normal pregnancy,936,1986786,2634,4745.0,11499,15768.0,20546,7.8,0.959
2,Allergy to substance (finding),420,842739,7798,9626.0,10584,11843.0,14514,1.9,0.209
3,Gingivitis (disorder),2362,5527308,185,501.0,608,775.0,3881,20.9,0.451
4,Chronic kidney disease stage 4 (disorder),913,9561368,194,375.0,437,473.0,23798,122.9,0.223
5,Non-small cell carcinoma of lung  TNM stage 1 (disorder),352,609772,3882,5210.0,5760,6375.0,7544,1.9,0.202
6,Polyp of colon,327,63722,13893,18650.0,20654,22538.0,29423,2.1,0.188
7,Malignant neoplasm of breast (disorder),444,348206,606,1444.0,1792,3179.0,42588,70.3,0.968
8,End-stage renal disease (disorder),568,2182480,111,406.0,445,481.0,18063,162.6,0.169
9,Gingival disease (disorder),424,253589,3009,3537.0,3836,4406.0,5053,1.7,0.227
10,COVID-19,478,855496,111,895.0,1080,1267.0,2490,22.4,0.344
11,Laceration - injury (disorder),520,171954,3466,4483.0,4888,5339.0,7468,2.2,0.175
12,Abnormal findings diagnostic imaging heart+coronary circulat (finding),12,207916,3268,3514.0,3921,4717.0,5166,1.6,0.307
13,Primary small cell malignant neoplasm of lung  TNM stage 1 (disorder),194,135543,4153,5242.0,5819,6445.0,7685,1.9,0.207
14,Primary dental caries (disorder),430,280602,2236,2576.0,2776,3163.0,3760,1.7,0.212
15,Child attention deficit disorder,312,80045,7171,8644.0,9586,10619.0,13222,1.8,0.206
16,Ischemic heart disease (disorder),1320,372842,213,379.0,443,509.0,6656,31.2,0.295
17,Dependent drug abuse (disorder),475,1423912,377,438.0,466,543.0,593,1.6,0.226
18,Acute bronchitis (disorder),453,637437,174,842.0,949,1077.0,1945,11.2,0.248
19,Stroke,12,7039,42382,71450.0,80647,85957.0,110445,2.6,0.18
20,Acute infective cystitis (disorder),769,185700,241,2083.0,2396,2738.0,4264,17.7,0.273
