Condition,Condition Code,Hospitals,Claims,Mean Cost per Claim,Median Cost per Claim,SD,CV,Robust CV (IQR/median),Min,Max,Max/Min,Variability Band,Outlier Driven
End-stage renal disease (disorder),46177005,568,2182480,899.03,444.96,2420.69,2.693,0.169,111,18063,162.6,4 Extreme,True
Chronic kidney disease stage 4 (disorder),431857002,913,9561368,1369.43,436.56,3537.57,2.583,0.223,194,23798,122.9,4 Extreme,True
Familial Alzheimer's disease of early onset (disorder),230265002,74,4089,1573.27,276.52,3997.41,2.541,0.547,122,16669,137.0,4 Extreme,False
Alzheimer's disease (disorder),26929004,514,54487,2208.90,308.10,4567.29,2.068,0.918,130,21958,169.2,4 Extreme,False
Malignant neoplasm of breast (disorder),254837009,444,348206,3744.98,1792.44,5068.06,1.353,0.968,606,42588,70.3,4 Extreme,False
Pulmonary emphysema (disorder),87433001,70,4009,8136.59,3755.86,9851.16,1.211,2.137,1222,57884,47.4,4 Extreme,False
Chronic obstructive bronchitis (disorder),185086009,50,2513,9748.53,8620.90,10456.43,1.073,1.051,1585,47354,29.9,4 Extreme,False
Chronic congestive heart failure (disorder),88805009,84,503416,5676.53,1766.08,5997.93,1.057,6.429,111,16744,150.7,4 Extreme,False
Neuropathy due to type 2 diabetes mellitus (disorder),368581000119106,89,5546,552.34,411.10,572.65,1.037,0.565,245,4351,17.8,4 Extreme,False
Ischemic heart disease (disorder),414545008,1320,372842,501.49,443.07,499.69,0.996,0.295,213,6656,31.2,3 High,True
Chronic pain (finding),82423001,667,239511,857.57,526.10,841.65,0.981,2.542,72,5348,74.1,3 High,False
Hyperlipidemia,55822004,908,985116,296.00,80.47,285.76,0.965,5.858,30,1467,48.5,3 High,False
Acute ST segment elevation myocardial infarction (disorder),401303003,23,38045,1647.51,2470.45,1539.57,0.934,1.154,111,3901,35.1,3 High,False
Appendicitis,74400008,89,4624,6006.58,6327.80,5139.05,0.856,1.598,116,16003,138.4,3 High,False
Gingivitis (disorder),66383009,2362,5527308,906.51,607.67,708.0,0.781,0.451,185,3881,20.9,3 High,False
Hyperglycemia (disorder),80394007,195,12186,498.77,402.06,355.94,0.714,0.605,185,2751,14.9,3 High,False
Pneumonia (disorder),233604007,28,1574,2364.31,3028.42,1656.36,0.701,1.154,111,4531,40.8,3 High,False
Normal pregnancy,72892002,936,1986786,10400.87,11498.66,5781.41,0.556,0.959,2634,20546,7.8,3 High,False
Diabetes mellitus type 2 (disorder),44054006,293,20816,605.69,501.95,314.04,0.518,0.518,265,2662,10.0,3 High,False
Essential hypertension (disorder),59621000,1387,373234,308.16,334.53,156.44,0.508,0.737,52,1078,20.6,3 High,False
Traumatic dislocation of temporomandibular joint (disorder),81629009,85,4539,1352.30,1531.06,629.63,0.466,0.802,508,2546,5.0,2 Moderate,False
