Condition,What was billed,Kind of item,Times billed,Total billed,% of this condition's cost,Average price each time
Normal pregnancy,Evaluation of uterine fundal height,Procedure,1604421,7970598180,27.55,4967.90
Normal pregnancy,Auscultation of the fetal heart,Procedure,1604421,7969614049,27.54,4967.28
Normal pregnancy,Ultrasound scan for fetal viability,Procedure,275202,2443562027,8.45,8879.16
Normal pregnancy,Standard pregnancy test,Procedure,275202,1366718941,4.72,4966.24
Normal pregnancy,Hemogram  automated  with RBC  WBC  Hgb  Hct  Indices  Platelet count  and manual WBC differential,Procedure,360403,683660006,2.36,1896.93
Normal pregnancy,Induced termination of pregnancy,Procedure,54393,471050304,1.63,8660.13
Normal pregnancy,Administration of diphtheria  pertussis  and tetanus vaccine,Procedure,176431,429320846,1.48,2433.36
Normal pregnancy,Urine culture,Procedure,183972,349457152,1.21,1899.51
Normal pregnancy,Human immunodeficiency virus antigen test,Procedure,183972,348988946,1.21,1896.97
Normal pregnancy,Blood group typing (procedure),Procedure,183972,348715320,1.21,1895.48
Normal pregnancy,Detection of chromosomal aneuploidy in prenatal amniotic fluid specimen using fluorescence in situ hybridization screening technique (procedure),Procedure,183851,348668914,1.21,1896.48
Normal pregnancy,Syphilis infectious titer test (procedure),Procedure,183972,348647427,1.20,1895.11
Normal pregnancy,Chlamydia antigen test,Procedure,183972,348624346,1.20,1894.99
Normal pregnancy,Urine protein test,Procedure,183972,348553944,1.20,1894.60
Normal pregnancy,Hepatitis C antibody  confirmatory test,Procedure,183972,348352388,1.20,1893.51
Normal pregnancy,Measurement of Varicella-zoster virus antibody,Procedure,183972,348295561,1.20,1893.20
Normal pregnancy,Urine screening test for diabetes,Procedure,183972,348264107,1.20,1893.03
Normal pregnancy,Cytopathology procedure  preparation of smear  genital source,Procedure,183972,348205521,1.20,1892.71
Normal pregnancy,Hepatitis B Surface Antigen Measurement,Procedure,183972,348061875,1.20,1891.93
Normal pregnancy,Gonorrhea infection titer test (procedure),Procedure,183972,347925725,1.20,1891.19
Normal pregnancy,Skin test for tuberculosis  Tine test (procedure),Procedure,183972,347779929,1.20,1890.40
Normal pregnancy,Urine screening for glucose,Procedure,176431,335296770,1.16,1900.44
Normal pregnancy,AFP test - antenatal,Procedure,176734,334772771,1.16,1894.22
Normal pregnancy,Streptococcus pneumoniae group B antigen assay,Procedure,164387,312422656,1.08,1900.53
Normal pregnancy,Rubella screening,Procedure,130059,240925573,0.83,1852.43
Normal pregnancy,Episiotomy,Procedure,45619,235751477,0.81,5167.84
Normal pregnancy,Cesarean section,Procedure,22558,179184195,0.62,7943.27
Normal pregnancy,Prenatal visit,Encounter type,1481964,176611783,0.61,119.17
Normal pregnancy,Physical examination procedure (procedure),Procedure,238361,116310770,0.40,487.96
Normal pregnancy,Medical induction of labor,Procedure,30602,105913157,0.37,3460.99
Normal pregnancy,Fetal anatomy study,Procedure,176734,86195153,0.30,487.71
Normal pregnancy,Passive immunization (procedure),Procedure,34438,83988389,0.29,2438.83
Normal pregnancy,Instrumental delivery,Procedure,13077,80504955,0.28,6156.23
Normal pregnancy,Childbirth,Procedure,143282,69912443,0.24,487.94
Normal pregnancy,Epidural anesthesia,Procedure,35572,67220796,0.23,1889.71
Normal pregnancy,Augmentation of labor,Procedure,15880,61053539,0.21,3844.68
Normal pregnancy,Antenatal RhD antibody screening,Procedure,26331,49930222,0.17,1896.25
Normal pregnancy,Pregnancy termination care,Procedure,54389,36738565,0.13,675.48
Normal pregnancy,Prenatal initial visit,Encounter type,275202,32791949,0.11,119.16
Normal pregnancy,Rubella screening test (procedure),Procedure,53913,27770898,0.10,515.11
Normal pregnancy,Counseling for termination of pregnancy,Procedure,54393,26594006,0.09,488.92
Normal pregnancy,Depression screening (procedure),Procedure,54389,26593265,0.09,488.95
Normal pregnancy,Obstetric emergency hospital admission,Encounter type,176336,22331549,0.08,126.64
Normal pregnancy,Patient-initiated encounter,Encounter type,54393,3893087,0.01,71.57
Normal pregnancy,Premature birth of newborn,Procedure,7447,3545705,0.01,476.13
Normal pregnancy,Spontaneous breech delivery,Procedure,420,2616365,0.01,6229.44
Normal pregnancy,Premature birth of newborn (finding),Condition,3049,1566156,0.01,513.66
Normal pregnancy,Clopidogrel 75 MG Oral Tablet,Medication or vaccine,34,29289,0.00,861.43
Normal pregnancy,insulin isophane  human 70 UNT/ML / insulin  regular  human 30 UNT/ML Injectable Suspension [Humulin],Medication or vaccine,38,17795,0.00,468.28
Normal pregnancy,24 HR metoprolol succinate 100 MG Extended Release Oral Tablet,Medication or vaccine,34,8816,0.00,259.29
Normal pregnancy,Simvastatin 20 MG Oral Tablet,Medication or vaccine,34,8655,0.00,254.56
Normal pregnancy,Acetaminophen 325 MG Oral Tablet [Tylenol],Medication or vaccine,26,6472,0.00,248.91
Normal pregnancy,Ibuprofen 400 MG Oral Tablet [Ibu],Medication or vaccine,24,6314,0.00,263.09
Normal pregnancy,60 ACTUAT Fluticasone propionate 0.25 MG/ACTUAT / salmeterol 0.05 MG/ACTUAT Dry Powder Inhaler,Medication or vaccine,8,5897,0.00,737.11
Normal pregnancy,72 HR Fentanyl 0.025 MG/HR Transdermal System,Medication or vaccine,20,5257,0.00,262.86
Normal pregnancy,albuterol 0.83 MG/ML Inhalation Solution,Medication or vaccine,18,4605,0.00,255.83
Normal pregnancy,12 HR Hydrocodone Bitartrate 10 MG Extended Release Oral Capsule,Medication or vaccine,18,4566,0.00,253.68
Normal pregnancy,Nitroglycerin 0.4 MG/ACTUAT Mucosal Spray,Medication or vaccine,34,4545,0.00,133.68
Normal pregnancy,Acetaminophen 325 MG / Oxycodone Hydrochloride 10 MG Oral Tablet [Percocet],Medication or vaccine,16,4457,0.00,278.57
