Section,Metric,Value
"Condition ranking, repriced",Pregnancy new rank,5 (was 1)
"Condition ranking, repriced",Pregnancy new % of diagnosed spend,7.14 (was 39.81)
"Condition ranking, repriced",New #1: Allergy to substance,18.33% of diagnosed spend
"Condition ranking, repriced",New #2: Gingivitis,18.11% of diagnosed spend
"Condition ranking, repriced",Top 5 share of diagnosed spend,60.07 (was 74.12)
"Condition ranking, repriced",Top 20 share of diagnosed spend,85.78 (was 90.78)
"Patient concentration, repriced",Priciest 1% of patients,15.35% of spend (was 11.8%)
"Patient concentration, repriced",Priciest 5% of patients,37.05% of spend (was 31.8%)
"Patient concentration, repriced",Priciest 10% of patients,49.72% of spend (was 48.2%)
"Patient concentration, repriced",Patients needed for half of spend,"127,841 (was 134,198)"
