METRIC,ORIGINAL_PCT,ADJUSTED_PCT,ORIGINAL_DOLLARS,ADJUSTED_DOLLARS
F1 pregnancy share of diagnosed,39.81,14.76,28933632566,3356301378
F2 member share of ALL billed,20.44,23.25,20256370607,11429397889

-- Finding 3, commercial:government ratios --
BASIS,NAME,FACTOR,COMM_ORIG,GOVT_ORIG,RATIO_ORIG,COMM_ADJ,GOVT_ADJ,RATIO_ADJ
BY SPEND (adjusted conditions),Normal pregnancy,0.116,15.1,0.6,25.2,15.1,0.6,25.2
BY SPEND (adjusted conditions),Gingivitis (disorder),0.067,54.6,3.2,17.1,54.6,3.2,17.1
BY SPEND (adjusted conditions),Allergy to substance (finding),0.011,6.6,0.7,9.4,6.6,0.7,9.4
BY WIDEST GAP (unadjusted),Child attention deficit disorder,1.000,11.6,0.2,58.0,11.6,0.2,58.0
BY WIDEST GAP (unadjusted),Appendicitis,1.000,39.2,1.3,30.2,39.2,1.3,30.2
BY WIDEST GAP (unadjusted),Rupture of patellar tendon,1.000,34.6,1.2,28.8,34.6,1.2,28.8
BY WIDEST GAP (unadjusted),Sepsis (disorder),1.000,30.2,1.1,27.5,30.2,1.1,27.5
BY WIDEST GAP (unadjusted),Normal pregnancy,0.116,15.1,0.6,25.2,15.1,0.6,25.2
BY WIDEST GAP (unadjusted),Injury of medial collateral ligament of knee,1.000,35.0,1.5,23.3,35.0,1.5,23.3
BY WIDEST GAP (unadjusted),Impacted molars,1.000,32.6,1.4,23.3,32.6,1.4,23.3
BY WIDEST GAP (unadjusted),Infection of tooth (disorder),1.000,47.9,2.1,22.8,47.9,2.1,22.8
BY WIDEST GAP (unadjusted),Primary dental caries (disorder),0.059,55.4,2.5,22.2,55.4,2.5,22.2
spearman_as_billed,spearman_corrected_RANK_ties,spearman_corrected_python_ties
-0.600,-0.571,-0.586
