Rank by total spend,Condition code,Condition,Total billed,% of all spending,Number of claims,% of all claims,Spend share minus claim share,People affected,Claims per person,Cost per claim,Cost per person,How many more people than a typical condition,How many more visits each than typical,How much dearer per claim than typical,What drives its cost,Size of that driver,% of the bill patients pay
1,72892002,Normal pregnancy,28933632566,39.807,1988559,5.911,33.90,178616,11.13,14550.05,161987.91,42.86,5.26,19.89,Reach - affects many people,42.9,17.0
2,419199007,Allergy to substance (finding),8636357451,11.882,842950,2.506,9.38,42809,19.69,10245.40,201741.63,10.27,9.30,14.01,Price - expensive per claim,14.0,9.9
3,66383009,Gingivitis (disorder),8533540681,11.740,5533886,16.450,-4.71,800475,6.91,1542.05,10660.60,192.10,3.27,2.11,Reach - affects many people,192.1,28.5
4,431857002,Chronic kidney disease stage 4 (disorder),4391639551,6.042,9573530,28.457,-22.42,37037,258.49,458.73,118574.39,8.89,122.10,0.63,Frequency - many visits each,122.1,12.4
5,424132000,Non-small cell carcinoma of lung  TNM stage 1 (disorder),3376088860,4.645,609881,1.813,2.83,2384,255.82,5535.65,1416144.66,0.57,120.84,7.57,Frequency - many visits each,120.8,5.4
6,68496003,Polyp of colon,1313207268,1.807,65497,0.195,1.61,40169,1.63,20049.88,32692.06,9.64,0.77,27.41,Price - expensive per claim,27.4,17.6
7,254837009,Malignant neoplasm of breast (disorder),1094711018,1.506,349988,1.040,0.47,17582,19.91,3127.85,62263.17,4.22,9.40,4.28,Frequency - many visits each,9.4,8.0
8,46177005,End-stage renal disease (disorder),1004387437,1.382,2190039,6.510,-5.13,14528,150.75,458.62,69134.60,3.49,71.21,0.63,Frequency - many visits each,71.2,12.8
9,18718003,Gingival disease (disorder),942134264,1.296,254407,0.756,0.54,147350,1.73,3703.26,6393.85,35.36,0.82,5.06,Reach - affects many people,35.4,26.2
10,840539006,COVID-19,938324734,1.291,858460,2.552,-1.26,23027,37.28,1093.03,40748.89,5.53,17.61,1.49,Frequency - many visits each,17.6,13.6
11,312608009,Laceration - injury (disorder),831319863,1.144,173588,0.516,0.63,85027,2.04,4789.04,9777.13,20.40,0.96,6.55,Reach - affects many people,20.4,28.0
12,274531002,Abnormal findings diagnostic imaging heart+coronary circulat (finding),793695625,1.092,207965,0.618,0.47,19908,10.45,3816.49,39868.17,4.78,4.93,5.22,Price - expensive per claim,5.2,12.4
13,67811000119102,Primary small cell malignant neoplasm of lung  TNM stage 1 (disorder),769007334,1.058,135651,0.403,0.65,427,317.68,5669.01,1800953.94,0.10,150.06,7.75,Frequency - many visits each,150.1,6.4
14,109570002,Primary dental caries (disorder),757131664,1.042,281343,0.836,0.21,166232,1.69,2691.13,4554.67,39.89,0.80,3.68,Reach - affects many people,39.9,30.3
15,192127007,Child attention deficit disorder,752948402,1.036,81096,0.241,0.79,7232,11.21,9284.66,104113.44,1.74,5.30,12.69,Price - expensive per claim,12.7,13.3
16,414545008,Ischemic heart disease (disorder),726643399,1.000,383463,1.140,-0.14,46534,8.24,1894.95,15615.32,11.17,3.89,2.59,Reach - affects many people,11.2,18.4
17,6525002,Dependent drug abuse (disorder),622280745,0.856,1424098,4.233,-3.38,97898,14.55,436.96,6356.42,23.49,6.87,0.60,Reach - affects many people,23.5,24.7
18,10509002,Acute bronchitis (disorder),587268604,0.808,637961,1.896,-1.09,271285,2.35,920.54,2164.77,65.10,1.11,1.26,Reach - affects many people,65.1,33.3
19,230690007,Stroke,529442722,0.728,7487,0.022,0.71,2597,2.88,70714.94,203867.05,0.62,1.36,96.69,Price - expensive per claim,96.7,13.3
20,307426000,Acute infective cystitis (disorder),451842221,0.622,197391,0.587,0.03,63850,3.09,2289.07,7076.62,15.32,1.46,3.13,Reach - affects many people,15.3,29.8
21,125605004,Fracture of bone (disorder),407234912,0.560,199208,0.592,-0.03,82213,2.42,2044.27,4953.41,19.73,1.14,2.80,Reach - affects many people,19.7,18.5
22,427898007,Infection of tooth (disorder),352660516,0.485,92019,0.274,0.21,58182,1.58,3832.47,6061.33,13.96,0.75,5.24,Reach - affects many people,14.0,26.4
23,88805009,Chronic congestive heart failure (disorder),338872250,0.466,508486,1.511,-1.05,9829,51.73,666.43,34476.78,2.36,24.44,0.91,Frequency - many visits each,24.4,8.5
24,196416002,Impacted molars,318073629,0.438,57898,0.172,0.27,6984,8.29,5493.69,45543.19,1.68,3.92,7.51,Price - expensive per claim,7.5,19.0
25,363406005,Malignant tumor of colon,288070634,0.396,52184,0.155,0.24,4784,10.91,5520.29,60215.43,1.15,5.15,7.55,Price - expensive per claim,7.5,7.3
26,82423001,Chronic pain (finding),275377466,0.379,242473,0.721,-0.34,31047,7.81,1135.70,8869.70,7.45,3.69,1.55,Reach - affects many people,7.5,22.9
27,195662009,Acute viral pharyngitis (disorder),272078918,0.374,368489,1.095,-0.72,313989,1.17,738.36,866.52,75.35,0.55,1.01,Reach - affects many people,75.4,43.5
28,37320007,Loss of teeth (disorder),209508980,0.288,211353,0.628,-0.34,106191,1.99,991.28,1972.94,25.48,0.94,1.36,Reach - affects many people,25.5,23.7
29,91302008,Sepsis (disorder),203887177,0.281,18055,0.054,0.23,5130,3.52,11292.56,39744.09,1.23,1.66,15.44,Price - expensive per claim,15.4,25.9
30,109838007,Overlapping malignant neoplasm of colon,169195033,0.233,24681,0.073,0.16,5209,4.74,6855.27,32481.29,1.25,2.24,9.37,Price - expensive per claim,9.4,7.4
31,26929004,Alzheimer's disease (disorder),163900031,0.225,67813,0.202,0.02,19275,3.52,2416.94,8503.24,4.63,1.66,3.30,Reach - affects many people,4.6,4.7
32,22298006,Myocardial infarction (disorder),147703092,0.203,41669,0.124,0.08,12567,3.32,3544.68,11753.25,3.02,1.57,4.85,Price - expensive per claim,4.8,15.5
33,278558000,Dental filling lost (finding),146903117,0.202,54570,0.162,0.04,34912,1.56,2692.01,4207.81,8.38,0.74,3.68,Reach - affects many people,8.4,27.3
34,278602001,Loose dental filling (finding),146545614,0.202,54550,0.162,0.04,34846,1.57,2686.45,4205.52,8.36,0.74,3.67,Reach - affects many people,8.4,26.9
35,278598003,Leaking dental filling (finding),146498025,0.202,54584,0.162,0.04,34799,1.57,2683.90,4209.83,8.35,0.74,3.67,Reach - affects many people,8.4,27.1
36,278588009,Fractured dental filling (finding),145815254,0.201,54231,0.161,0.04,34683,1.56,2688.78,4204.23,8.32,0.74,3.68,Reach - affects many people,8.3,27.2
