Type of visit,Kind of insurance,Total bill,Paid by the insurer,Paid by the patient,% of the bill the patient pays,People affected,Paid per person over 5 years,Points above or below that insurance type's average
ambulatory,Commercial,29255918036,22286557299,6969361117,23.8,589318,11826,-6.1
wellness,Commercial,2655729646,459055619,2196674919,82.7,612018,3589,52.8
outpatient,Commercial,3798481574,2088876432,1709605142,45.0,510448,3349,15.0
emergency,Commercial,1505058521,1060459593,444598928,29.5,250640,1774,-0.4
inpatient,Commercial,1282279054,1083813176,198465878,15.5,62719,3164,-14.5
snf,Commercial,504338403,344840368,159498035,31.6,29108,5480,1.7
urgentcare,Commercial,467042618,316210718,150831900,32.3,105145,1435,2.3
virtual,Commercial,92902016,69131902,23770114,25.6,27437,866,-4.4
hospice,Commercial,32043581,22901084,9142497,28.5,2614,3498,-1.4
home,Commercial,642872,576807,66065,10.3,60,1101,-19.7
ambulatory,Government,32778300728,32193487392,584814153,1.8,630511,928,-0.9
wellness,Government,3882085034,3587532894,294552141,7.6,642578,458,4.9
outpatient,Government,4167055916,3936796271,230259645,5.5,541555,425,2.9
urgentcare,Government,1897108302,1799038068,98070353,5.2,176054,557,2.5
emergency,Government,2449504909,2370588981,78915928,3.2,316235,250,0.6
inpatient,Government,5613264840,5556865015,56399825,1.0,121389,465,-1.6
hospice,Government,623688348,602622212,21066136,3.4,47053,448,0.7
snf,Government,897132062,876989686,20142377,2.2,52210,386,-0.4
home,Government,126376378,121498788,4877590,3.9,10515,464,1.2
virtual,Government,79865210,76943381,2921830,3.7,36920,79,1.0
ambulatory,Self-Pay / Uninsured,5116324255,15696,5116307742,100.0,105667,48419,0.0
outpatient,Self-Pay / Uninsured,608314364,7281,608307083,100.0,85406,7123,0.0
wellness,Self-Pay / Uninsured,395591627,1972,395589655,100.0,94929,4167,0.0
inpatient,Self-Pay / Uninsured,372320805,119038,372201767,100.0,12176,30568,0.0
emergency,Self-Pay / Uninsured,274529202,1298,274527903,100.0,43898,6254,0.0
urgentcare,Self-Pay / Uninsured,137923586,0,137923586,100.0,20704,6662,0.0
snf,Self-Pay / Uninsured,76921019,0,76921019,100.0,4485,17151,0.0
virtual,Self-Pay / Uninsured,11185339,0,11185339,100.0,3632,3080,0.0
hospice,Self-Pay / Uninsured,8066112,0,8066112,100.0,703,11474,0.0
home,Self-Pay / Uninsured,1305829,0,1305829,100.0,137,9532,0.0
