Rank by money PATIENTS PAID,Rank by TOTAL BILL,Type of care,Conditions grouped here,Paid by patients over 5 years,% of everything patients paid,% of the bill patients pay,Paid by insurers,Total bill,People affected,Total cost per person over 5 years,"Of that, paid by the person","Of that, paid by their insurer",% patients pay - Commercial,% patients pay - Government
12,13,Blood disorders,1,47232822,1.2,38.9,74245664,121478486,67419,1802,701,1101,56.2,2.9
9,9,Diabetes & metabolic,17,159224764,4.0,36.6,275345686,434570450,259513,1675,614,1061,74.4,8.1
10,10,Infections (other),5,90874402,2.3,28.0,233415717,324290119,13122,24713,6925,17788,34.9,1.4
2,5,Dental & oral,15,630053540,15.8,25.8,1816327110,2446380538,938009,2608,672,1936,48.1,2.6
4,6,Respiratory & ENT,16,493963721,12.4,25.0,1480446686,1974410480,937507,2106,527,1579,42.7,5.8
7,8,Injury & trauma,28,207452717,5.2,25.0,623900382,831353099,342757,2425,605,1820,46.2,5.1
11,11,Chronic pain,1,63000430,1.6,22.9,212377036,275377466,31047,8870,2029,6841,25.9,5.3
6,7,Mental health & substance use,14,322408319,8.1,20.6,1239063750,1561472069,200549,7786,1608,6178,30.9,3.3
15,15,Other,38,16213774,0.4,17.9,74587141,90800915,56781,1599,286,1314,27.3,7.0
3,2,Maternity,5,586884625,14.7,17.0,2860467795,3447352421,178766,19284,3283,16001,15.1,0.7
14,14,Allergy & immune,5,18001977,0.5,15.0,102271495,120273472,49452,2432,364,2068,17.3,1.8
5,4,Heart & circulation,13,391761419,9.8,14.9,2233825813,2625587232,139952,18761,2799,15961,30.4,2.9
1,1,Kidney & urinary,13,727984240,18.3,13.0,4861754621,5589738481,167126,33446,4356,29090,10.5,2.7
13,12,Brain & nervous system,3,19964000,0.5,8.5,215949815,235913815,26392,8939,756,8182,40.2,4.1
8,3,Cancer & tumours,11,204597924,5.1,7.4,2578165241,2782763165,67860,41007,3015,37992,7.2,1.3
