Type of care,Commercial claims,Total paid,"% of spend on claims over $5,000","% of claims over $5,000","Patient share under $5,000","Patient share over $5,000",% of claims patient pays nothing
Maternity,1005853,15034154412,97.7,86.3,7.7,15.3,74.4
Allergy & immune,359071,3609883680,96.4,80.9,18.8,6.3,72.8
Cancer & tumours,132063,1018493813,93.8,26.3,11.0,17.8,72.2
Brain & nervous system,6148,19994644,86.0,26.6,60.1,37.0,12.5
Infections (other),35663,185182658,84.9,13.8,52.7,31.8,10.7
Heart & circulation,455014,821474754,82.8,5.8,62.5,22.9,16.6
Injury & trauma,397601,610608742,78.3,10.0,63.7,39.1,9.4
Chronic pain,111044,137896530,67.7,7.7,54.2,12.4,13.6
Mental health & substance use,586416,604843805,55.7,5.3,55.7,11.2,15.9
Other,42212,26253067,52.8,2.4,37.8,17.9,22.6
Respiratory & ENT,1616071,987613782,47.2,2.0,59.8,27.4,13.8
Dental & oral,2317881,4456351146,26.6,8.1,56.0,44.2,15.5
Diabetes & metabolic,465857,156909910,20.0,0.6,82.8,40.7,8.3
Kidney & urinary,3711044,1862223231,5.4,0.4,12.8,38.7,74.5
Blood disorders,69579,66029574,2.2,0.3,56.8,31.3,19.6
