Condition,Patient Out of Pocket,% of All Patient Out of Pocket,% of Bill Patient Pays,Patients,Out of Pocket per Patient,Total Billed
Normal pregnancy,4927384330,38.58,17.0,178616,27586,28933632566
Gingivitis (disorder),2430217212,19.03,28.5,800475,3036,8533540681
Allergy to substance (finding),854556599,6.69,9.9,42809,19962,8636357451
Chronic kidney disease stage 4 (disorder),542707211,4.25,12.4,37037,14653,4391639551
Gingival disease (disorder),246617013,1.93,26.2,147350,1674,942134264
Laceration - injury (disorder),232770648,1.82,28.0,85027,2738,831319863
Polyp of colon,231656992,1.81,17.6,40169,5767,1313207268
Primary dental caries (disorder),229076379,1.79,30.3,166232,1378,757131664
Acute bronchitis (disorder),195555660,1.53,33.3,271285,721,587268604
Non-small cell carcinoma of lung  TNM stage 1 (disorder),181100807,1.42,5.4,2384,75965,3376088860
Dependent drug abuse (disorder),153999072,1.21,24.7,97898,1573,622280745
Acute infective cystitis (disorder),134830215,1.06,29.8,63850,2112,451842221
Ischemic heart disease (disorder),133852646,1.05,18.4,46534,2876,726643399
End-stage renal disease (disorder),128919031,1.01,12.8,14528,8874,1004387437
COVID-19,127335038,1.00,13.6,23027,5530,938324734
Acute viral pharyngitis (disorder),118403552,0.93,43.5,313989,377,272078918
Child attention deficit disorder,100441756,0.79,13.3,7232,13889,752948402
Abnormal findings diagnostic imaging heart+coronary circulat (finding),98306932,0.77,12.4,19908,4938,793695625
Infection of tooth (disorder),93123657,0.73,26.4,58182,1601,352660516
Malignant neoplasm of breast (disorder),87522653,0.69,8.0,17582,4978,1094711018
Fracture of bone (disorder),75368992,0.59,18.5,82213,917,407234912
Stroke,70586260,0.55,13.3,2597,27180,529442722
Chronic pain (finding),63000430,0.49,22.9,31047,2029,275377466
Impacted molars,60511678,0.47,19.0,6984,8664,318073629
Viral sinusitis (disorder),54392429,0.43,51.7,494629,110,105288113
Sepsis (disorder),52895523,0.41,25.9,5130,10311,203887177
Loss of teeth (disorder),49731583,0.39,23.7,106191,468,209508980
Primary small cell malignant neoplasm of lung  TNM stage 1 (disorder),48852548,0.38,6.4,427,114409,769007334
Suspected COVID-19,48037247,0.38,39.0,121188,396,123197609
Essential hypertension (disorder),47375933,0.37,51.8,62669,756,91383065
Anemia (disorder),47232822,0.37,38.9,67419,701,121478486
