Rank by % of the bill patients pay,Condition,% of the bill patients pay,Paid by patients over 5 years,Rank by money,People affected,Paid per person over 5 years
1,Concussion with loss of consciousness,67.9,443599,83,9027,49
2,Concussion with no loss of consciousness,67.6,1684289,77,34102,49
3,Prediabetes (finding),62.2,11476697,51,13859,828
4,Concussion injury of brain (disorder),61.8,3646429,72,45319,80
5,Otitis media,61.5,28790743,35,79046,364
6,Asthma,57.5,8936356,56,40633,220
7,Body mass index 30+ - obesity (finding),56.0,42816767,29,59466,720
8,Sprain (morphologic abnormality),55.4,16013621,45,85452,187
9,Fracture subluxation of wrist,54.3,624380,82,15769,40
10,Fracture of clavicle,54.3,698542,80,17837,39
