Rank,Condition,Paid by patients over 5 years,% of everything patients paid,Running % of everything patients paid,% of the bill patients pay,Rank by % of the bill patients pay,People affected,Paid per person over 5 years,Total bill including insurer
1,Normal pregnancy,4927384330,38.6,38.6,17.0,133,178616,27586,28933632566
2,Gingivitis (disorder),2430217212,19.0,57.6,28.5,89,800475,3036,8533540681
3,Allergy to substance (finding),854556599,6.7,64.3,9.9,153,42809,19962,8636357451
4,Chronic kidney disease stage 4 (disorder),542707211,4.2,68.5,12.4,149,37037,14653,4391639551
5,Gingival disease (disorder),246617013,1.9,70.5,26.2,98,147350,1674,942134264
6,Laceration - injury (disorder),232770648,1.8,72.3,28.0,91,85027,2738,831319863
7,Polyp of colon,231656992,1.8,74.1,17.6,128,40169,5767,1313207268
8,Primary dental caries (disorder),229076379,1.8,75.9,30.3,83,166232,1378,757131664
9,Acute bronchitis (disorder),195555660,1.5,77.4,33.3,76,271285,721,587268604
10,Non-small cell carcinoma of lung  TNM stage 1 (disorder),181100807,1.4,78.9,5.4,175,2384,75965,3376088860
