Cut,Segment,Total Billed,Paid by Insurer,Paid by Patient,% Insurer,% Patient,Patients,Billed per Patient,Insurer Paid per Patient,Patient Paid per Patient
1. Overall,All spend,99111300188,78854930973,20256370607,79.6,20.4,1259375,78698.80,62614.34,16084.46
2. Payer type,Self-Pay / Uninsured,7002482138,145287,7002336035,0.0,100.0,113412,61743.75,1.28,61742.46
2. Payer type,Commercial,39594436321,27732422999,11862014595,70.0,30.0,618506,64016.25,44837.76,19178.50
2. Payer type,Government,52514381728,51122362687,1392019977,97.3,2.7,657190,79907.46,77789.32,2118.14
3. Payer,NO_INSURANCE,7002482138,145287,7002336035,0.0,100.0,113412,61743.75,1.28,61742.46
3. Payer,Aetna,6709524221,4142099119,2567425102,61.7,38.3,174448,38461.46,23744.03,14717.42
3. Payer,Humana,9294239325,6120196665,3174042660,65.8,34.2,130314,71321.88,46965.00,24356.88
3. Payer,Cigna Health,6843108400,4588209805,2254898932,67.0,33.0,174979,39108.17,26221.49,12886.68
3. Payer,Blue Cross Blue Shield,5331102120,3719121507,1611980613,69.8,30.2,79532,67030.91,46762.58,20268.33
3. Payer,Anthem,6525974982,5203274591,1322700843,79.7,20.3,164537,39662.66,31623.74,8038.93
3. Payer,UnitedHealthcare,4890487274,3959521313,930966445,81.0,19.0,74268,65849.19,53313.96,12535.23
3. Payer,Medicare,22480183774,21742414640,737769542,96.7,3.3,265189,84770.42,81988.37,2782.05
3. Payer,Medicaid,22613263075,22109971660,503291415,97.8,2.2,382578,59107.59,57792.06,1315.53
3. Payer,Dual Eligible,7420934879,7269976387,150959020,98.0,2.0,100336,73960.84,72456.31,1504.53
4. Encounter class,wellness,6933406307,4046590485,2886816715,58.4,41.6,1259199,5506.20,3213.62,2292.58
4. Encounter class,outpatient,8573851855,6025679984,2548171871,70.3,29.7,1083877,7910.36,5559.38,2350.98
4. Encounter class,virtual,183952565,146075283,37877282,79.4,20.6,67120,2740.65,2176.33,564.32
4. Encounter class,emergency,4229092631,3431049873,798042759,81.1,18.9,591570,7148.93,5799.91,1349.03
4. Encounter class,ambulatory,67150543019,54480060386,12670483012,81.1,18.9,1214819,55276.17,44846.24,10429.93
4. Encounter class,snf,1478391484,1221830054,256561430,82.6,17.4,85548,17281.43,14282.39,2999.03
4. Encounter class,urgentcare,2502074506,2115248786,386825840,84.5,15.5,290994,8598.37,7269.05,1329.33
4. Encounter class,inpatient,7267864700,6640797229,627067471,91.4,8.6,191558,37940.80,34667.29,3273.51
4. Encounter class,hospice,663798041,625523296,38274745,94.2,5.8,50189,13225.97,12463.35,762.61
4. Encounter class,home,128325079,122075595,6249484,95.1,4.9,10663,12034.61,11448.52,586.09
5. Year,2021,20948177114,16612855502,4335321688,79.3,20.7,1192975,17559.61,13925.57,3634.04
5. Year,2020,20616260845,16406058348,4210202568,79.6,20.4,1137017,18131.88,14429.04,3702.85
5. Year,2022,20291316213,16148964191,4142352401,79.6,20.4,1143226,17749.17,14125.78,3623.39
5. Year,2023,20441952993,16283081020,4158872837,79.7,20.3,1149845,17778.01,14161.11,3616.90
5. Year,2024,16813593023,13403971911,3409621113,79.7,20.3,1074995,15640.62,12468.87,3171.76
