Cut,Segment,Year,Patients,Total Billed,Paid by Patient,% Patient,Billed per Patient,Patient Paid per Patient
1. Overall,All spend,2020,1137017,20616260845,4210202568,20.4,18131.88,3702.85
1. Overall,All spend,2021,1192975,20948177114,4335321688,20.7,17559.61,3634.04
1. Overall,All spend,2022,1143226,20291316213,4142352401,20.4,17749.17,3623.39
1. Overall,All spend,2023,1149845,20441952993,4158872837,20.3,17778.01,3616.90
1. Overall,All spend,2024,1074995,16813593023,3409621113,20.3,15640.62,3171.76
2. Payer type,Commercial,2020,527727,8344010865,2476215240,29.7,15811.23,4692.23
2. Payer type,Commercial,2021,559686,8443540351,2547529050,30.2,15086.21,4551.71
2. Payer type,Commercial,2022,522497,8089321277,2423356334,30.0,15482.04,4638.03
2. Payer type,Commercial,2023,521153,8090133048,2424235083,30.0,15523.53,4651.68
2. Payer type,Commercial,2024,480365,6627430781,1990678888,30.0,13796.66,4144.10
2. Payer type,Government,2020,554128,10815883022,277671794,2.6,19518.74,501.10
2. Payer type,Government,2021,577408,11023399397,306588290,2.8,19091.18,530.97
2. Payer type,Government,2022,565873,10763923184,280945974,2.6,19021.80,496.48
2. Payer type,Government,2023,573869,10905109326,287950581,2.6,19002.79,501.77
2. Payer type,Government,2024,540447,9006066799,238863339,2.7,16664.11,441.97
2. Payer type,Self-Pay / Uninsured,2020,84344,1456366958,1456315534,100.0,17266.99,17266.38
2. Payer type,Self-Pay / Uninsured,2021,90846,1481237366,1481204348,100.0,16304.93,16304.56
2. Payer type,Self-Pay / Uninsured,2022,83560,1438071752,1438050094,100.0,17210.05,17209.79
2. Payer type,Self-Pay / Uninsured,2023,83560,1446710619,1446687173,100.0,17313.43,17313.15
2. Payer type,Self-Pay / Uninsured,2024,76599,1180095443,1180078887,100.0,15406.15,15405.93
3. Payer,Aetna,2020,101361,1423987029,537908968,37.8,14048.67,5306.86
3. Payer,Aetna,2021,109069,1441521021,553389704,38.4,13216.60,5073.76
3. Payer,Aetna,2022,99795,1366822138,524384287,38.4,13696.30,5254.61
3. Payer,Aetna,2023,98954,1363314477,524751089,38.5,13777.25,5302.98
3. Payer,Aetna,2024,89928,1113879556,426991054,38.3,12386.35,4748.14
3. Payer,Anthem,2020,95475,1373759225,276454111,20.1,14388.68,2895.57
3. Payer,Anthem,2021,103050,1381249090,285465866,20.7,13403.68,2770.17
3. Payer,Anthem,2022,94533,1333650641,268403784,20.1,14107.78,2839.26
3. Payer,Anthem,2023,94230,1325278685,268850770,20.3,14064.30,2853.13
3. Payer,Anthem,2024,85850,1112037341,223526311,20.1,12953.26,2603.68
3. Payer,Blue Cross Blue Shield,2020,68072,1108611775,334131267,30.1,16285.87,4908.50
3. Payer,Blue Cross Blue Shield,2021,72238,1132719069,343510391,30.3,15680.38,4755.26
3. Payer,Blue Cross Blue Shield,2022,67770,1097886160,330664952,30.1,16200.18,4879.22
3. Payer,Blue Cross Blue Shield,2023,67911,1098077053,330881020,30.1,16169.35,4872.27
3. Payer,Blue Cross Blue Shield,2024,62754,893808062,272792983,30.5,14243.05,4347.02
3. Payer,Cigna Health,2020,101637,1444794168,470245447,32.5,14215.24,4626.72
3. Payer,Cigna Health,2021,109530,1458890211,482208989,33.1,13319.55,4402.53
3. Payer,Cigna Health,2022,100389,1389453396,461259616,33.2,13840.69,4594.72
3. Payer,Cigna Health,2023,100396,1406305807,461458397,32.8,14007.59,4596.38
3. Payer,Cigna Health,2024,91469,1143664818,379726483,33.2,12503.31,4151.42
3. Payer,Dual Eligible,2020,70500,1508658068,29053193,1.9,21399.41,412.10
3. Payer,Dual Eligible,2021,75127,1558306737,33047859,2.1,20742.30,439.89
3. Payer,Dual Eligible,2022,74559,1523830591,30516625,2.0,20437.92,409.29
3. Payer,Dual Eligible,2023,76907,1563953572,31910711,2.0,20335.65,414.93
3. Payer,Dual Eligible,2024,72219,1266185912,26430633,2.1,17532.59,365.98
3. Payer,Humana,2020,113374,1987833299,666434434,33.5,17533.41,5878.19
3. Payer,Humana,2021,120132,1997072542,683650296,34.2,16623.98,5690.83
3. Payer,Humana,2022,111263,1896326427,648469970,34.2,17043.64,5828.26
3. Payer,Humana,2023,110434,1876936873,645728363,34.4,16996.01,5847.19
3. Payer,Humana,2024,101644,1536070183,529759597,34.5,15112.26,5211.91
3. Payer,Medicaid,2020,303662,4795456071,102664710,2.1,15792.08,338.09
3. Payer,Medicaid,2021,316366,4826061005,120069217,2.5,15254.68,379.53
3. Payer,Medicaid,2022,299567,4637935674,99713920,2.1,15482.13,332.86
3. Payer,Medicaid,2023,298531,4604812888,99588804,2.2,15424.91,333.60
3. Payer,Medicaid,2024,274268,3748997437,81254764,2.2,13669.10,296.26
3. Payer,Medicare,2020,194654,4511768883,145953891,3.2,23178.40,749.81
3. Payer,Medicare,2021,204960,4639031655,153471214,3.3,22633.84,748.79
3. Payer,Medicare,2022,206618,4602156919,150715429,3.3,22273.75,729.44
3. Payer,Medicare,2023,213391,4736342866,156451066,3.3,22195.61,733.17
3. Payer,Medicare,2024,204538,3990883451,131177942,3.3,19511.70,641.34
3. Payer,NO_INSURANCE,2020,84344,1456366958,1456315534,100.0,17266.99,17266.38
3. Payer,NO_INSURANCE,2021,90846,1481237366,1481204348,100.0,16304.93,16304.56
3. Payer,NO_INSURANCE,2022,83560,1438071752,1438050094,100.0,17210.05,17209.79
3. Payer,NO_INSURANCE,2023,83560,1446710619,1446687173,100.0,17313.43,17313.15
3. Payer,NO_INSURANCE,2024,76599,1180095443,1180078887,100.0,15406.15,15405.93
3. Payer,UnitedHealthcare,2020,63100,1005025368,191041012,19.0,15927.50,3027.59
3. Payer,UnitedHealthcare,2021,67059,1032088417,199303803,19.3,15390.75,2972.07
3. Payer,UnitedHealthcare,2022,63238,1005182515,190173726,18.9,15895.23,3007.27
3. Payer,UnitedHealthcare,2023,63579,1020220153,192565445,18.9,16046.50,3028.76
3. Payer,UnitedHealthcare,2024,58721,827970820,157882460,19.1,14100.08,2688.69
4. Encounter class,ambulatory,2020,853091,13865747567,2631371926,19.0,16253.54,3084.51
4. Encounter class,ambulatory,2021,850583,13899163072,2609341565,18.8,16340.75,3067.71
4. Encounter class,ambulatory,2022,839345,13920813335,2629894752,18.9,16585.33,3133.27
4. Encounter class,ambulatory,2023,845951,13992753077,2637585305,18.8,16540.86,3117.89
4. Encounter class,ambulatory,2024,767393,11472065968,2162289465,18.8,14949.40,2817.71
4. Encounter class,emergency,2020,180084,880235576,169369267,19.2,4887.92,940.50
4. Encounter class,emergency,2021,179589,861902181,165943725,19.3,4799.30,924.02
4. Encounter class,emergency,2022,180162,878178819,163421272,18.6,4874.38,907.08
4. Encounter class,emergency,2023,181851,881297882,166531118,18.9,4846.26,915.76
4. Encounter class,emergency,2024,152524,727478172,132777378,18.3,4769.60,870.53
4. Encounter class,home,2020,1943,22506017,1084041,4.8,11583.13,557.92
4. Encounter class,home,2021,2224,25391690,1276015,5.0,11417.13,573.75
4. Encounter class,home,2022,2385,27330956,1437454,5.3,11459.52,602.71
4. Encounter class,home,2023,2548,28727357,1288914,4.5,11274.47,505.85
4. Encounter class,home,2024,2147,24369058,1163060,4.8,11350.28,541.71
4. Encounter class,hospice,2020,11416,140663164,7562274,5.4,12321.58,662.43
4. Encounter class,hospice,2021,11336,138445237,8022022,5.8,12212.88,707.66
4. Encounter class,hospice,2022,11336,138095410,8168747,5.9,12182.02,720.60
4. Encounter class,hospice,2023,11252,136331605,8156402,6.0,12116.21,724.88
4. Encounter class,hospice,2024,9474,110262625,6365300,5.8,11638.44,671.87
4. Encounter class,inpatient,2020,59908,1795424734,174006155,9.7,29969.70,2904.56
4. Encounter class,inpatient,2021,56230,1695252273,157321322,9.3,30148.54,2797.82
4. Encounter class,inpatient,2022,47535,1325232826,107424467,8.1,27879.10,2259.90
4. Encounter class,inpatient,2023,47826,1349963866,108138560,8.0,28226.57,2261.08
4. Encounter class,inpatient,2024,39549,1101991001,80176968,7.3,27863.94,2027.28
4. Encounter class,outpatient,2020,357883,1668870735,486949337,29.2,4663.17,1360.64
4. Encounter class,outpatient,2021,922024,2053698692,666869349,32.5,2227.38,723.27
4. Encounter class,outpatient,2022,372475,1704643825,493223714,28.9,4576.53,1324.18
4. Encounter class,outpatient,2023,369014,1718774472,494867189,28.8,4657.75,1341.05
4. Encounter class,outpatient,2024,329403,1427864130,406262281,28.5,4334.70,1233.33
4. Encounter class,snf,2020,19092,304493735,53546096,17.6,15948.76,2804.64
4. Encounter class,snf,2021,19141,305369765,54429418,17.8,15953.70,2843.60
4. Encounter class,snf,2022,19097,305436577,52323652,17.1,15993.96,2739.89
4. Encounter class,snf,2023,19529,311408764,53347309,17.1,15945.97,2731.70
4. Encounter class,snf,2024,15765,251682643,42914956,17.1,15964.65,2722.17
4. Encounter class,urgentcare,2020,100581,489471232,78202045,16.0,4866.44,777.50
4. Encounter class,urgentcare,2021,102241,501195590,78490326,15.7,4902.10,767.70
4. Encounter class,urgentcare,2022,104256,518334050,80461366,15.5,4971.74,771.77
4. Encounter class,urgentcare,2023,106512,537279473,81411679,15.2,5044.31,764.34
4. Encounter class,urgentcare,2024,96219,455794161,68260424,15.0,4737.05,709.43
4. Encounter class,virtual,2020,13932,33781893,7367603,21.8,2424.77,528.83
4. Encounter class,virtual,2021,16698,41231825,8445499,20.5,2469.27,505.78
4. Encounter class,virtual,2022,16811,38500977,7678391,19.9,2290.23,456.75
4. Encounter class,virtual,2023,17060,39409780,7794236,19.8,2310.07,456.87
4. Encounter class,virtual,2024,14169,31028090,6591553,21.2,2189.86,465.21
4. Encounter class,wellness,2020,1019239,1415066190,600743824,42.5,1388.36,589.40
