Hospital,Sim City,Patients,Total Billed,Billed per Patient,Billed per Encounter,Encounters per Patient,Rank by Total,Rank by Cost per Patient
"San Francisco Vet Center (San Francisco, CA)",SAN FRANCISCO,1091,157563876,144422,2926,49.4,162,1
"Auburn Gresham (Chicago) Clinic (Chicago, IL)",CHICAGO,1395,181473588,130089,2703,48.1,145,2
"Jesse Brown VA Medical Center (Chicago, IL)",CHICAGO,2048,263986062,128899,2593,49.7,98,3
"Lakeside Clinic (Chicago, IL)",CHICAGO,1505,193508607,128577,2607,49.3,134,4
"Evanston Vet Center (Evanston, IL)",CHICAGO,1546,194557109,125845,2686,46.9,133,5
"John D. Dingell VA Medical Center (Detroit, MI)",DETROIT,1012,122218789,120770,2240,53.9,189,6
"Parma Vet Center (Parma, OH)",CLEVELAND,2028,239766696,118228,2168,54.5,107,7
"Cleveland Vet Center (Maple Heights, OH)",CLEVELAND,3321,367159858,110557,2077,53.2,68,8
"Parma Community Based Outpatient Clinic (Parma, OH)",CLEVELAND,1002,107313095,107099,1978,54.1,208,9
"LUCY WEBB HAYES NATIONAL TRAINING SCHOOL FOR DEACONESSES & MISSIONARIE (WASHINGTON, DC)",WASHINGTON DC,2202,188574686,85638,4539,18.9,138,10
"MEDSTAR NATIONAL REHABILITATION HOSPITAL (WASHINGTON, DC)",WASHINGTON DC,8628,736578718,85371,4440,19.2,22,11
"AHMC SETON MEDICAL CENTER LLC (DALY CITY, CA)",SAN FRANCISCO,4312,364084137,84435,4243,19.9,70,12
"KENTFIELD HOSPITAL (SAN FRANCISCO, CA)",SAN FRANCISCO,1760,148533383,84394,4498,18.8,170,13
"CHILDRENS HOSPITAL (WASHINGTON, DC)",WASHINGTON DC,2104,177181551,84212,4699,17.9,152,14
"NOT-FOR-PROFIT HOSPITAL CORPORATION (WASHINGTON, DC)",WASHINGTON DC,2700,226463200,83875,4282,19.6,115,15
"PACIFIC HEIGHTS SURGERY CENTER OF SAN FRANCISCO LP (SAN FRANCISCO, CA)",SAN FRANCISCO,6556,549345997,83793,4374,19.2,35,16
"BRIDGEPOINT HOSPITAL CAPITOL HILL (WASHINGTON, DC)",WASHINGTON DC,11078,925170684,83514,4308,19.4,13,17
"HEBREW HOME FOR AGED DISABLED (SAN FRANCISCO, CA)",SAN FRANCISCO,8081,674617600,83482,4318,19.3,26,18
"SAN FRANCISCO SURGERY CENTER  LP (SAN FRANCISCO, CA)",SAN FRANCISCO,5252,428851461,81655,4416,18.5,51,19
"UNIVERSITY COMMUNITY HOSPITAL INC (TAMPA, FL)",TAMPA,4007,325662448,81273,4028,20.2,79,20
"HOWARD UNIVERSITY HOSPITAL (WASHINGTON, DC)",WASHINGTON DC,4330,351374528,81149,4248,19.1,74,21
"CHINESE HOSPITAL (SAN FRANCISCO, CA)",SAN FRANCISCO,11555,934484075,80873,4293,18.8,12,22
"PSYCHIATRIC INSTITUTE OF WASHINGTON (WASHINGTON, DC)",WASHINGTON DC,7166,576403781,80436,4280,18.8,33,23
"DEPARTMENT OF BEHAVIORAL HEALTH - ST ELIZABETHS HOSPITAL (WASHINGTON, DC)",WASHINGTON DC,7059,565099840,80054,4350,18.4,34,24
"UNIVERSITY OF CALIFORNIA SAN FRANCISCO (SAN FRANCISCO, CA)",SAN FRANCISCO,5363,427309845,79677,4231,18.8,53,25
"STEWARD CGH INC (CORAL GABLES, FL)",MIAMI,5223,413809226,79228,4000,19.8,56,26
"ENCOMPASS HEALTH REHABILITATION HOSPITAL OF NORTH TAMPA  LLC (LUTZ, FL)",TAMPA,1372,108146964,78824,3811,20.7,206,27
"DISTRICT HOSPITAL PARTNERS L P (WASHINGTON, DC)",WASHINGTON DC,4489,352820183,78597,4383,17.9,73,28
"STEWARD NSMC INC (MIAMI, FL)",MIAMI,2487,194816515,78334,3935,19.9,132,29
"SUTTER BAY HOSPITALS (SAN FRANCISCO, CA)",SAN FRANCISCO,6260,489024422,78119,4304,18.2,42,30
"MIAMI JEWISH HEALTH SYSTEMS INC (MIAMI, FL)",MIAMI,5352,417353606,77981,4211,18.5,55,31
"TRANSITIONAL HOSPITALS OF TAMPA LLC (TAMPA, FL)",TAMPA,2286,177131638,77485,3994,19.4,153,32
"KINDRED HOSPITALS EAST LLC (TAMPA, FL)",TAMPA,5203,397740815,76445,4230,18.1,59,33
"BIOSPINE LLC (TAMPA, FL)",TAMPA,3850,294279252,76436,4089,18.7,87,34
"HCA FLORIDA BRANDON HOSPITAL (TEMPLE TERRACE, FL)",TAMPA,6239,476060988,76304,4001,19.1,43,35
"STEWARD HH  INC. (HIALEAH, FL)",MIAMI,2888,219348652,75952,3928,19.3,121,36
"MIAMI MEDICAL CENTER  THE (MIAMI, FL)",MIAMI,2478,187637670,75721,3805,19.9,140,37
"ST CATHERINE'S REHABILITATION HOSPITAL (NORTH MIAMI, FL)",MIAMI,1146,86432297,75421,3468,21.7,240,38
"LARKIN COMMUNITY HOSPITAL INC (SOUTH MIAMI, FL)",MIAMI,1945,145804511,74964,3757,20.0,171,39
"JOHNS HOPKINS UNIVERSITY (WASHINGTON, DC)",WASHINGTON DC,9768,718909011,73598,4436,16.6,23,40
"LAKEWAY COMPLETE CARE LLC (LAKEWAY, TX)",AUSTIN,2243,164014505,73123,4145,17.6,159,41
"PLANTATION GENERAL HOSPITAL LP (MIAMI, FL)",MIAMI,6728,491574885,73064,3682,19.8,40,42
"TAMPA GENERAL HOSPITAL (TAMPA, FL)",TAMPA,3040,220593954,72564,4198,17.3,120,43
"USA EMERGENCY CENTERS - SOUTH AUSTIN LLC (AUSTIN, TX)",AUSTIN,1691,119228480,70508,3978,17.7,192,44
"ST DAVIDS HEALTHCARE PARTNERSHIP LP LLP (AUSTIN, TX)",AUSTIN,3614,253512011,70147,4006,17.5,101,45
"CEDAR PARK REGIONAL MEDICAL CENTER (LEANDER, TX)",AUSTIN,2155,150312459,69751,4219,16.5,169,46
"ADVENTHEALTH CARROLLWOOD (TAMPA, FL)",TAMPA,5486,381675282,69573,4199,16.6,62,47
"AUSTIN EMERGENCY CENTER LLC (AUSTIN, TX)",AUSTIN,2843,195520187,68772,4182,16.4,131,48
"BOTSFORD GENERAL HOSPITAL (FARMINGTON HILLS, MI)",DETROIT,2431,167096330,68736,3429,20.0,157,49
"LIFECARE 2.2  LLC (PITTSBURGH, PA)",PITTSBURGH,1585,108461497,68430,3205,21.3,205,50
"WESTLAKE COMPLETE CARE  LLC (AUSTIN, TX)",AUSTIN,1570,107348774,68375,3866,17.7,207,51
"BAYLOR SCOTT & WHITE MEDICAL CENTERS - CAPITOL AREA (AUSTIN, TX)",AUSTIN,2272,154745096,68110,4200,16.2,166,52
"PLAINS ER MANAGEMENT AUSTIN LTD (AUSTIN, TX)",AUSTIN,7506,508690613,67771,4072,16.6,39,53
"ENCOMPASS HEALTH REHABILITATION HOSPITAL OF AUSTIN (AUSTIN, TX)",AUSTIN,2508,169255530,67486,4158,16.2,156,54
"AUSTIN LAKES HOSPITAL (AUSTIN, TX)",AUSTIN,1764,118944477,67429,4170,16.2,196,55
"AUSTIN BEHAVIORAL HOSPITAL LLC (AUSTIN, TX)",AUSTIN,4414,296122022,67087,3866,17.4,85,56
"LAKE TRAVIS ER  LLC (AUSTIN, TX)",AUSTIN,4016,268871574,66950,3783,17.7,94,57
"ST DAVID'S SOUTH AUSTIN MEDICAL CENTER (BEE CAVE, TX)",AUSTIN,5752,384679797,66878,3992,16.8,61,58
"ASCENSION SETON NORTHWEST (AUSTIN, TX)",AUSTIN,3616,241628628,66822,4039,16.5,106,59
"BAYLOR SCOTT & WHITE MEDICAL CENTERS - CAPITOL AREA (BUDA, TX)",AUSTIN,3276,218855515,66806,3865,17.3,122,60
"SOUTH AUSTIN EMERGENCY CENTER  LLC (AUSTIN, TX)",AUSTIN,4749,317120687,66776,3982,16.8,81,61
"BAYLOR SCOTT & WHITE MEDICAL CENTERS - CAPITOL AREA (PFLUGERVILLE, TX)",AUSTIN,2092,139623149,66741,3823,17.5,174,62
"NORTHWEST HILLS SURGICAL HOSPITAL (AUSTIN, TX)",AUSTIN,1349,89973340,66696,3733,17.9,231,63
"JEFFERSON REGIONAL MEDICAL CENTER (JEFFERSON HILLS, PA)",PITTSBURGH,1513,100880253,66676,3228,20.7,219,64
"VHS DETROIT RECEIVING HOSPITAL INC (DETROIT, MI)",DETROIT,4996,332572385,66568,3358,19.8,78,65
"NEW ENGLAND BAPTIST HOSPITAL (DEDHAM, MA)",BOSTON,1657,109538575,66107,3482,19.0,203,66
"COMMON SENSE CARE LLC (CEDAR PARK, TX)",AUSTIN,1353,89404363,66079,3725,17.7,233,67
"ASCENSION SETON (AUSTIN, TX)",AUSTIN,15644,1032416759,65994,4028,16.4,10,68
"JACKSON PARK HOSPITAL FOUNDATION (CHICAGO, IL)",CHICAGO,3512,231360756,65877,3460,19.0,111,69
"KINDRED CHICAGO NORTHLAKE  LLC (NORTHLAKE, IL)",CHICAGO,6990,460440195,65871,3518,18.7,45,70
"USA EMERGENCY CENTERS - BURNET  LLC (AUSTIN, TX)",AUSTIN,1916,126060431,65794,3990,16.5,185,71
"LORETTO HOSPITAL (CHICAGO, IL)",CHICAGO,4131,271350983,65687,3466,19.0,93,72
"LAKELINE EMERGENCY CENTER  LLC (CEDAR PARK, TX)",AUSTIN,1988,130473636,65631,3843,17.1,181,73
"BCA STONECREST CENTER (DETROIT, MI)",DETROIT,2874,188545507,65604,3094,21.2,139,74
"GEORGE WASHINGTON UNIV HOSPITAL (WASHINGTON, DC)",WASHINGTON DC,9363,611828975,65345,4110,15.9,28,75
"PRESENCE SAINT JOSEPH HOSPITAL - CHICAGO (CHICAGO, IL)",CHICAGO,10463,681847985,65168,3410,19.1,25,76
"ADVOCATE HEALTH AND HOSPITALS CORPORATION (OAK LAWN, IL)",CHICAGO,6862,446959362,65135,3328,19.6,47,77
"2014 HEALTH LLC (DES PLAINES, IL)",CHICAGO,3256,211847324,65064,3384,19.2,127,78
"ROSELAND COMMUNITY HOSPITAL ASSOCIATION (CHICAGO, IL)",CHICAGO,12754,828713315,64977,3434,18.9,15,79
"INGALLS MEMORIAL HOSPITAL (HARVEY, IL)",CHICAGO,2793,180793970,64731,3226,20.1,147,80
"RUSH UNIVERSITY MEDICAL CENTER (OAK PARK, IL)",CHICAGO,1695,109432336,64562,3113,20.7,204,81
"SWEDISH COVENANT HEALTH (CHICAGO, IL)",CHICAGO,11459,738591486,64455,3549,18.2,21,82
"ST BERNARD HOSPITAL (CHICAGO, IL)",CHICAGO,9050,581924311,64301,3310,19.4,32,83
"THOREK MEMORIAL HOSPITAL (CHICAGO, IL)",CHICAGO,3924,252133556,64254,3543,18.1,103,84
"DETROIT RECEIVING HOSPITAL & UNIV HEALTH CENTER (DETROIT, MI)",DETROIT,7637,490309578,64202,3321,19.3,41,85
"PRESENCE SAINT FRANCIS HOSPITAL (SKOKIE, IL)",CHICAGO,5538,354936469,64091,3410,18.8,72,86
