Grain,Pct Entities,Pct Spend
Conditions,1,39.81
Conditions,2,63.43
Conditions,3,74.12
Conditions,4,77.43
Conditions,5,80.11
Conditions,6,82.54
Conditions,7,83.63
Conditions,8,85.73
Conditions,9,87.77
Conditions,10,89.43
Conditions,11,90.78
Conditions,12,91.83
Conditions,13,92.73
Conditions,14,93.13
Conditions,15,93.88
Conditions,16,94.45
Conditions,17,94.91
Conditions,18,95.31
Conditions,19,95.72
Conditions,20,96.10
Conditions,21,96.28
Conditions,22,96.63
Conditions,23,96.95
Conditions,24,97.24
Conditions,25,97.51
Conditions,26,97.71
Conditions,27,97.80
Conditions,28,97.98
Conditions,29,98.14
Conditions,30,98.30
Conditions,31,98.45
Conditions,32,98.60
Conditions,33,98.73
Conditions,34,98.80
Conditions,35,98.91
Conditions,36,99.01
Conditions,37,99.10
Conditions,38,99.18
Conditions,39,99.25
Conditions,40,99.32
Conditions,41,99.35
Conditions,42,99.41
Conditions,43,99.47
Conditions,44,99.52
Conditions,45,99.57
Conditions,46,99.61
Conditions,47,99.63
Conditions,48,99.67
Conditions,49,99.71
Conditions,50,99.74
Conditions,51,99.78
Conditions,52,99.81
Conditions,53,99.84
Conditions,54,99.85
Conditions,55,99.87
Conditions,56,99.89
Conditions,57,99.91
Conditions,58,99.92
Conditions,59,99.93
Conditions,60,99.94
Conditions,61,99.94
Conditions,62,99.95
Conditions,63,99.96
Conditions,64,99.96
Conditions,65,99.96
Conditions,66,99.97
Conditions,67,99.97
Conditions,68,99.97
Conditions,69,99.97
Conditions,70,99.98
Conditions,71,99.98
Conditions,72,99.98
Conditions,73,99.98
Conditions,74,99.99
Conditions,75,99.99
Conditions,76,99.99
Conditions,77,99.99
Conditions,78,99.99
Conditions,79,99.99
Conditions,80,99.99
Conditions,81,100.00
Conditions,82,100.00
Conditions,83,100.00
Conditions,84,100.00
Conditions,85,100.00
Conditions,86,100.00
Conditions,87,100.00
Conditions,88,100.00
Conditions,89,100.00
Conditions,90,100.00
Conditions,91,100.00
Conditions,92,100.00
Conditions,93,100.00
Conditions,94,100.00
Conditions,95,100.00
Conditions,96,100.00
Conditions,97,100.00
Conditions,98,100.00
Conditions,99,100.00
Conditions,100,100.00
Organisations,1,32.49
Organisations,2,47.64
Organisations,3,58.12
Organisations,4,65.89
Organisations,5,71.62
Organisations,6,76.02
Organisations,7,79.54
Organisations,8,82.26
Organisations,9,84.37
Organisations,10,86.18
Organisations,11,87.72
Organisations,12,88.95
Organisations,13,89.93
Organisations,14,90.76
Organisations,15,91.48
Organisations,16,92.12
Organisations,17,92.71
Organisations,18,93.23
Organisations,19,93.69
Organisations,20,94.12
Organisations,21,94.51
Organisations,22,94.87
Organisations,23,95.21
Organisations,24,95.51
Organisations,25,95.79
Organisations,26,96.05
Organisations,27,96.28
Organisations,28,96.51
Organisations,29,96.72
Organisations,30,96.92
Organisations,31,97.11
Organisations,32,97.29
Organisations,33,97.46
Organisations,34,97.62
Organisations,35,97.77
Organisations,36,97.91
Organisations,37,98.04
Organisations,38,98.16
Organisations,39,98.28
Organisations,40,98.39
Organisations,41,98.49
Organisations,42,98.58
Organisations,43,98.67
Organisations,44,98.76
Organisations,45,98.84
Organisations,46,98.92
Organisations,47,98.99
Organisations,48,99.06
Organisations,49,99.13
Organisations,50,99.19
Organisations,51,99.25
Organisations,52,99.30
Organisations,53,99.35
Organisations,54,99.40
Organisations,55,99.45
Organisations,56,99.49
Organisations,57,99.53
Organisations,58,99.57
