Hospital,Patients,Visits,Actual cost per visit,Cost per visit if all prices were equal,"% of it that is pricing, not case mix"
"SEASONS HOSPICE & PALLIATIVE CARE OF SOUTHERN FLORIDA  LLC (MIAMI, FL)",1067,1121,16030,12510,22.0
"WILLOW PARK CONVALESCENT HOME (CLEVELAND, OH)",1518,1591,14226,16805,-18.1
"GREAT LAKES CARING HOSPICE C IL LLC (SPRINGFIELD, IL)",1085,1148,13374,12951,3.2
"UNITY HOSPICE OF CHICAGOLAND  LLC (CHICAGO, IL)",2638,2787,12868,12460,3.2
"NORTHSHORE UNIVERSITY HEALTHSYSTEM (SKOKIE, IL)",1172,1240,12860,12454,3.2
"JUDSON HOME CARE (CLEVELAND, OH)",2178,2285,10674,12526,-17.4
"HOSPICE OF THE WESTERN RESERVE AT UNIVERSITY HOSPITALS LLC (CLEVELAND, OH)",3224,3409,10660,12510,-17.4
"MCGREGOR AT OVERLOOK (CLEVELAND, OH)",2757,2905,10623,12469,-17.4
"VISITING NURSE ASSOCIATION OF CLEVELAND HOSPICE (BROOKLYN HEIGHTS, OH)",1175,1238,10417,12224,-17.3
"VITAS HEALTHCARE CORPORATION OF ILLINOIS (CHICAGO, IL)",2177,2732,9236,8964,3.0
"LIFEPATH HOSPICE (TEMPLE TERRACE, FL)",1133,1717,7865,6160,21.7
"HOLLYWOOD CROSS MEDICAL CLINIC (LOS ANGELES, CA)",5303,41801,6933,5888,15.1
"INTERNAL MEDICINE ASSOCIATES PLC (ORLANDO, FL)",5146,42332,6906,5475,20.7
"HERITAGE HOSPICE AND PALLIATIVE CARE (HARWOOD HEIGHTS, IL)",2151,3301,6522,6215,4.7
"COLLIN COUNTY ADULT CLINIC (PLANO, TX)",4736,36124,6339,5989,5.5
"ZUCKERBERG SAN FRANCISCO GENERAL HOSP & TRAUMA SNF (SAN FRANCISCO, CA)",3068,5742,6135,4821,21.4
"VITAS INNOVATIVE HOSPICE CARE OF GREATER WASH  DC (WASHINGTON, DC)",2235,3570,6081,4883,19.7
"MERCER MANOR REHABILITATION LLC (ALEDO, IL)",17362,136383,5899,5798,1.7
"APERION CARE BRIDGEPORT (BRIDGEPORT, IL)",1919,3489,5811,5553,4.5
