Site group,Condition,Visits,% of that group's visits,Patients,Visits per patient,Billed per visit
Everywhere else,Chronic kidney disease stage 4 (disorder),4782283,25.3,30107,158.8,823
Everywhere else,Gingivitis (disorder),2611588,13.8,787073,3.3,3135
Everywhere else,Normal pregnancy,1961230,10.4,178269,11.0,14635
Everywhere else,Dependent drug abuse (disorder),1375982,7.3,94765,14.5,439
Everywhere else,End-stage renal disease (disorder),1101991,5.8,13395,82.3,820
Everywhere else,Allergy to substance (finding),810673,4.3,42762,19.0,10636
Everywhere else,Viral sinusitis (disorder),613322,3.2,485230,1.3,168
Everywhere else,Hyperlipidemia,468152,2.5,107180,4.4,137
Everywhere else,Chronic congestive heart failure (disorder),358202,1.9,9823,36.5,865
Everywhere else,Acute viral pharyngitis (disorder),354017,1.9,308083,1.1,761
Everywhere else,Malignant neoplasm of breast (disorder),330043,1.7,17348,19.0,3171
Everywhere else,Acute bronchitis (disorder),292997,1.5,266114,1.1,1967
Everywhere else,Loss of teeth (disorder),200082,1.1,101336,2.0,1001
Everywhere else,Essential hypertension (disorder),192910,1.0,61441,3.1,464
Everywhere else,Chronic pain (finding),192531,1.0,30407,6.3,1428
Everywhere else,Primary dental caries (disorder),179854,1.0,160801,1.1,4060
Everywhere else,Suspected COVID-19,167167,0.9,118950,1.4,724
Everywhere else,Gingival disease (disorder),161430,0.9,141930,1.1,5598
Everywhere else,Ischemic heart disease (disorder),158830,0.8,46516,3.4,4552
Everywhere else,Drug overdose,122738,0.6,67707,1.8,121
Everywhere else,Asthma,122287,0.6,40046,3.1,123
Everywhere else,Acute infective cystitis (disorder),104830,0.6,62288,1.7,4154
Everywhere else,Otitis media,97610,0.5,78746,1.2,478
Everywhere else,Anemia (disorder),89505,0.5,66206,1.4,1332
Everywhere else,Streptococcal sore throat (disorder),86149,0.5,82379,1.0,1194
Everywhere else,Sinusitis (disorder),81504,0.4,35004,2.3,267
Everywhere else,Child attention deficit disorder,81096,0.4,7232,11.2,9285
Everywhere else,Sprain (morphologic abnormality),80311,0.4,77835,1.0,328
Everywhere else,Laceration - injury (disorder),79516,0.4,77257,1.0,9493
Everywhere else,Fracture of bone (disorder),77718,0.4,74768,1.0,4754
Everywhere else,Acute bacterial sinusitis (disorder),72643,0.4,34645,2.1,255
Everywhere else,Polyp of colon,62518,0.3,38762,1.6,20306
Everywhere else,Childhood asthma,60342,0.3,21822,2.8,207
Everywhere else,Infection of tooth (disorder),58590,0.3,55841,1.0,5774
Everywhere else,Body mass index 30+ - obesity (finding),58510,0.3,58510,1.0,1285
Everywhere else,Concussion injury of brain (disorder),44026,0.2,41415,1.1,122
Everywhere else,Severe anxiety (panic) (finding),41533,0.2,39627,1.0,1420
Everywhere else,Unhealthy alcohol drinking behavior (finding),40350,0.2,38886,1.0,1432
Everywhere else,Non-small cell carcinoma of lung  TNM stage 1 (disorder),37273,0.2,1768,21.1,70952
Everywhere else,Prediabetes,35353,0.2,35353,1.0,1270
Everywhere else,Dental filling lost (finding),34533,0.2,33275,1.0,4056
Everywhere else,Loose dental filling (finding),34482,0.2,33254,1.0,4057
Everywhere else,Leaking dental filling (finding),34451,0.2,33197,1.0,4057
Everywhere else,Fractured dental filling (finding),34314,0.2,33122,1.0,4060
Everywhere else,Concussion with no loss of consciousness,33911,0.2,33538,1.0,72
Everywhere else,Abnormal findings diagnostic imaging heart+coronary circulat (finding),32070,0.2,19908,1.6,24749
Everywhere else,COVID-19,31563,0.2,22332,1.4,28584
Everywhere else,Chronic kidney disease stage 1 (disorder),30080,0.2,30080,1.0,1709
Everywhere else,Chronic kidney disease stage 2 (disorder),28504,0.2,28504,1.0,1593
Everywhere else,Human immunodeficiency virus infection (disorder),28228,0.1,2434,11.6,1892
Everywhere else,Impacted molars,26367,0.1,6348,4.2,10975
Everywhere else,Chronic intractable migraine without aura,25976,0.1,6306,4.1,129
Everywhere else,Alzheimer's disease (disorder),25948,0.1,14851,1.7,2347
Everywhere else,Injury of neck (disorder),25180,0.1,24975,1.0,330
Everywhere else,Metabolic syndrome X (disorder),24831,0.1,24831,1.0,1455
Everywhere else,Chronic kidney disease stage 3 (disorder),23453,0.1,23453,1.0,1535
Everywhere else,Alveolitis of jaw (disorder),22718,0.1,22256,1.0,2527
Everywhere else,Sleep disorder (disorder),22146,0.1,7490,3.0,973
Everywhere else,Complete miscarriage (disorder),21939,0.1,20705,1.1,1447
Everywhere else,Burn injury (morphologic abnormality),21190,0.1,20946,1.0,484
Everywhere else,Fracture of forearm,20467,0.1,20235,1.0,72
Everywhere else,Malignant tumor of colon,19746,0.1,3944,5.0,13201
Everywhere else,Misuses drugs (finding),18057,0.1,17843,1.0,1406
Everywhere else,Fracture of clavicle,17632,0.1,17512,1.0,71
Everywhere else,Fracture of ankle,15904,0.1,15803,1.0,72
Everywhere else,Aortic valve stenosis (disorder),15783,0.1,3763,4.2,3351
Everywhere else,Fracture subluxation of wrist,15530,0.1,15425,1.0,72
Everywhere else,Prediabetes (finding),13755,0.1,13755,1.0,1333
Everywhere else,Epidermal burn of skin (disorder),13100,0.1,13049,1.0,72
