Entity Type,Rank,Name,Total Billed,% of Type Spend,Running % of Type Spend,Patients,Encounters,Billed per Patient,% Borne by Patient
Condition,1,Normal pregnancy,28933632566,39.81,39.8,178616,1987895,161988,
Condition,2,Allergy to substance (finding),8636357451,11.88,51.7,42809,812083,201742,
Condition,3,Gingivitis (disorder),8533540681,11.74,63.4,800465,2718693,10661,
Condition,4,Chronic kidney disease stage 4 (disorder),4391639551,6.04,69.5,37037,5243809,118574,
Condition,5,Non-small cell carcinoma of lung  TNM stage 1 (disorder),3376088860,4.64,74.1,2384,48544,1416145,
Condition,6,Polyp of colon,1313207268,1.81,75.9,40165,64788,32695,
Condition,7,Malignant neoplasm of breast (disorder),1094711018,1.51,77.4,17582,336526,62263,
Condition,8,End-stage renal disease (disorder),1004387437,1.38,78.8,14528,1204071,69135,
Condition,9,Gingival disease (disorder),942134264,1.30,80.1,147350,168632,6394,
Condition,10,COVID-19,938324734,1.29,81.4,23027,32706,40749,
Condition,11,Laceration - injury (disorder),831319863,1.14,82.5,85025,87516,9777,
Condition,12,Abnormal findings diagnostic imaging heart+coronary circulat (finding),793695625,1.09,83.6,19908,32070,39868,
Condition,13,Primary small cell malignant neoplasm of lung  TNM stage 1 (disorder),769007334,1.06,84.7,427,10750,1800954,
Condition,14,Primary dental caries (disorder),757131664,1.04,85.7,166231,186808,4555,
Condition,15,Child attention deficit disorder,752948402,1.04,86.8,7232,81096,104113,
Condition,16,Ischemic heart disease (disorder),726643399,1.00,87.8,46532,160239,15616,
Condition,17,Dependent drug abuse (disorder),622280745,0.86,88.6,97898,1419920,6356,
Condition,18,Acute bronchitis (disorder),587268604,0.81,89.4,271282,298695,2165,
Condition,19,Stroke,529442722,0.73,90.2,2597,3039,203867,
Condition,20,Acute infective cystitis (disorder),451842221,0.62,90.8,63845,108277,7077,
Condition,21,Fracture of bone (disorder),407234912,0.56,91.3,82213,85459,4953,
Condition,22,Infection of tooth (disorder),352660516,0.49,91.8,58181,61193,6061,
Condition,23,Chronic congestive heart failure (disorder),338872250,0.47,92.3,9829,360902,34477,
Condition,24,Impacted molars,318073629,0.44,92.7,6983,29014,45550,
Condition,25,Malignant tumor of colon,288070634,0.40,93.1,4784,21862,60215,
Hospital,1,"ST VINCENT CHARITY MEDICAL CENTER  (CLEVELAND, OH)",2368623268,2.39,2.4,43254,890060,54761,
Hospital,2,"UNIVERSITY HOSPITALS CLEVELAND MEDICAL CENTER  (CLEVELAND, OH)",2261695547,2.28,4.7,42505,880023,53210,
Hospital,3,"THE METROHEALTH SYSTEM  (CLEVELAND, OH)",2146483607,2.17,6.8,44251,834622,48507,
Hospital,4,"CLEVELAND CLINIC HEALTH SYSTEM - EAST REGION  (EUCLID, OH)",2105342373,2.12,9.0,38107,795578,55248,
Hospital,5,"LUTHERAN HOSPITAL  (CLEVELAND, OH)",1990451710,2.01,11.0,36789,765368,54105,
Hospital,6,"SOUTHWEST GENERAL HEALTH CENTER  (MIDDLEBURG HEIGHTS, OH)",1521326043,1.53,12.5,27746,578554,54830,
Hospital,7,"SELECT SPECIALTY HOSPITAL - CLEVELAND  LLC  (CLEVELAND, OH)",1336778280,1.35,13.9,24278,513843,55061,
Hospital,8,"GRACE HOSPITAL  (PARMA, OH)",1106445511,1.12,15.0,20253,416335,54631,
Hospital,9,"MARYMOUNT HOSPITAL INC  (GARFIELD HEIGHTS, OH)",1034080226,1.04,16.0,19765,414452,52319,
Hospital,10,"ASCENSION SETON  (AUSTIN, TX)",1032416759,1.04,17.1,15644,256340,65994,
Hospital,11,"M & Y CARE LLC  (LYNDHURST, OH)",974963361,0.98,18.0,28847,211903,33798,
Hospital,12,"CHINESE HOSPITAL  (SAN FRANCISCO, CA)",934484075,0.94,19.0,11555,217660,80873,
Hospital,13,"BRIDGEPOINT HOSPITAL CAPITOL HILL  (WASHINGTON, DC)",925170684,0.93,19.9,11078,214772,83514,
Hospital,14,"NORTHWESTERN MEMORIAL HOSPITAL  (CHICAGO, IL)",832296679,0.84,20.8,13353,243311,62330,
Hospital,15,"ROSELAND COMMUNITY HOSPITAL ASSOCIATION  (CHICAGO, IL)",828713315,0.84,21.6,12754,241357,64977,
Hospital,16,"HOLY CROSS HOSPITAL  (CHICAGO, IL)",826099118,0.83,22.4,13101,251208,63056,
Hospital,17,"MERCER MANOR REHABILITATION LLC  (ALEDO, IL)",804564661,0.81,23.2,17362,136383,46341,
Hospital,18,"PRESENCE CHICAGO HOSPITALS NETWORK  (CHICAGO, IL)",790727310,0.80,24.0,14261,238421,55447,
Hospital,19,"CITY & COUNTY OF SAN FRANCISCO  (SAN FRANCISCO, CA)",784601419,0.79,24.8,13954,178884,56228,
Hospital,20,"PARMA COMMUNITY GENERAL HOSPITAL  (SEVEN HILLS, OH)",763671012,0.77,25.6,13967,296267,54677,
Hospital,21,"SWEDISH COVENANT HEALTH  (CHICAGO, IL)",738591486,0.75,26.3,11459,208101,64455,
Hospital,22,"MEDSTAR NATIONAL REHABILITATION HOSPITAL  (WASHINGTON, DC)",736578718,0.74,27.1,8628,165888,85371,
Hospital,23,"JOHNS HOPKINS UNIVERSITY  (WASHINGTON, DC)",718909011,0.73,27.8,9768,162067,73598,
Hospital,24,"VHS SINAI GRACE HOSPITAL INC  (DETROIT, MI)",698585312,0.70,28.5,11025,221714,63364,
Hospital,25,"PRESENCE SAINT JOSEPH HOSPITAL - CHICAGO  (CHICAGO, IL)",681847985,0.69,29.2,10463,199944,65168,
