Condition,Hospitals,"Procedures per claim, typical site",P25 procedures per claim,P75 procedures per claim,Variation in amount of work,Variation in cost
Chronic congestive heart failure (disorder),86,1.26,1.0,6.18,4.116,15.196
Chronic obstructive bronchitis (disorder),51,2.81,2.08,6.57,1.596,1.02
Pulmonary emphysema (disorder),76,2.62,2.12,5.75,1.388,1.687
Normal pregnancy,856,2.85,2.8,5.54,0.962,1.821
Pneumonia (disorder),31,5.89,1.0,6.08,0.864,1.192
Hyperlipidemia,787,1.43,1.01,2.03,0.713,1.523
Fracture of mandible (disorder),101,3.71,2.43,4.86,0.654,0.291
Chronic pain (finding),596,1.00,1.0,1.65,0.648,9.053
Aortic valve stenosis (disorder),20,3.88,3.61,6.06,0.632,0.096
Traumatic dislocation of temporomandibular joint (disorder),90,4.45,2.14,4.86,0.612,0.769
Chronic kidney disease stage 4 (disorder),798,1.03,1.0,1.57,0.553,0.228
Acute ST segment elevation myocardial infarction (disorder),25,1.00,1.0,1.52,0.521,18.755
Familial Alzheimer's disease of early onset (disorder),79,1.39,1.03,1.67,0.454,0.472
Anemia (disorder),618,2.79,2.34,3.42,0.387,0.646
Alzheimer's disease (disorder),480,1.45,1.09,1.63,0.378,0.951
Severe anxiety (panic) (finding),786,1.83,1.45,2.1,0.357,0.438
Acute infective cystitis (disorder),695,4.32,4.12,5.56,0.333,0.283
Unhealthy alcohol drinking behavior (finding),799,1.84,1.51,2.03,0.283,0.334
Misuses drugs (finding),435,1.93,1.57,2.09,0.271,0.352
Essential hypertension (disorder),1182,1.78,1.38,1.85,0.262,0.628
Metabolic syndrome X (disorder),640,1.75,1.53,1.85,0.18,0.326
Gingivitis (disorder),2066,2.20,2.03,2.41,0.172,0.456
Osteoporosis (disorder),434,1.79,1.61,1.85,0.136,0.324
Body mass index 30+ - obesity (finding),815,2.43,2.24,2.57,0.136,0.252
Prediabetes (finding),233,2.46,2.29,2.62,0.133,0.281
Neoplasm of prostate,52,1.59,1.47,1.68,0.132,0.318
Prediabetes,450,2.48,2.29,2.59,0.121,0.256
Malignant neoplasm of breast (disorder),380,1.87,1.77,2.0,0.12,1.107
Suspected COVID-19,643,2.33,2.24,2.52,0.119,0.302
End-stage renal disease (disorder),500,1.01,1.0,1.12,0.116,0.174
Human immunodeficiency virus infection (disorder),210,3.99,3.77,4.22,0.113,0.223
Pyelonephritis,31,4.34,4.12,4.54,0.097,0.23
Hypertriglyceridemia (disorder),178,1.93,1.83,2.02,0.097,0.352
Posttraumatic stress disorder,41,1.16,1.11,1.22,0.096,0.052
Retinopathy due to type 2 diabetes mellitus (disorder),67,1.78,1.7,1.87,0.095,0.298
Hyperglycemia (disorder),182,1.71,1.63,1.77,0.085,0.612
Overlapping malignant neoplasm of colon,194,1.14,1.1,1.19,0.084,0.32
Chronic kidney disease stage 2 (disorder),671,1.56,1.5,1.63,0.083,0.306
Diabetes mellitus type 2 (disorder),262,1.95,1.89,2.05,0.083,0.472
Chronic kidney disease stage 1 (disorder),769,1.64,1.57,1.71,0.082,0.31
Nonproliferative diabetic retinopathy due to type 2 diabetes mellitus (disorder),34,1.74,1.64,1.78,0.08,0.505
Atrial fibrillation (disorder),142,1.50,1.44,1.54,0.068,0.47
Neuropathy due to type 2 diabetes mellitus (disorder),92,1.77,1.71,1.83,0.067,0.617
Chronic kidney disease stage 3 (disorder),498,1.50,1.45,1.54,0.066,0.279
Injury of tendon of the rotator cuff of shoulder,108,1.16,1.13,1.19,0.054,0.43
