Quarter,Year,Q,Is Partial,Total Billed,Claims,Patients,Billed per Claim,Billed per Patient,Claims per Patient,% Borne by Patient,Billed Indexed (Q1 2020=100),Cost per Claim Indexed
2020-01-01,2020,Q1,False,4994664596,3304649,590900,1511.41,8452.64,5.59,20.9,100.0,100.0
2020-04-01,2020,Q2,False,5126668887,3315151,586701,1546.44,8738.13,5.65,20.7,102.6,102.3
2020-07-01,2020,Q3,False,5150829132,3384241,577242,1522.00,8923.17,5.86,20.2,103.1,100.7
2020-10-01,2020,Q4,False,5344098230,3613639,596450,1478.87,8959.84,6.06,19.9,107.0,97.8
2021-01-01,2021,Q1,False,5375612266,4025687,746599,1335.33,7200.13,5.39,20.6,107.6,88.4
2021-04-01,2021,Q2,False,5315476643,4038094,818602,1316.33,6493.36,4.93,21.4,106.4,87.1
2021-07-01,2021,Q3,False,5169533053,3602615,656681,1434.94,7872.21,5.49,20.4,103.5,94.9
2021-10-01,2021,Q4,False,5087555152,3493473,626932,1456.30,8115.00,5.57,20.4,101.9,96.4
2022-01-01,2022,Q1,False,4967549500,3307040,576001,1502.11,8624.20,5.74,20.3,99.5,99.4
2022-04-01,2022,Q2,False,5166481438,3466309,597401,1490.48,8648.26,5.80,20.9,103.4,98.6
2022-07-01,2022,Q3,False,5084974606,3388407,575421,1500.70,8836.96,5.89,20.2,101.8,99.3
2022-10-01,2022,Q4,False,5072310669,3396953,575107,1493.19,8819.77,5.91,20.3,101.6,98.8
2023-01-01,2023,Q1,False,4996413325,3341574,567831,1495.23,8799.12,5.88,20.1,100.0,98.9
2023-04-01,2023,Q2,False,5212655119,3565443,605426,1461.99,8609.90,5.89,20.9,104.4,96.7
2023-07-01,2023,Q3,False,5111855990,3448101,579637,1482.51,8819.06,5.95,20.2,102.3,98.1
2023-10-01,2023,Q4,False,5121028559,3464832,578779,1478.00,8847.99,5.99,20.1,102.5,97.8
2024-01-01,2024,Q1,False,5067462927,3441296,576035,1472.54,8797.14,5.97,20.2,101.5,97.4
2024-04-01,2024,Q2,False,5231020181,3631171,607621,1440.59,8609.02,5.98,20.7,104.7,95.3
2024-07-01,2024,Q3,False,5150509730,3520117,583313,1463.16,8829.75,6.03,19.9,103.1,96.8
2024-10-01,2024,Q4,True,1364600186,924349,262394,1476.28,5200.58,3.52,20.3,27.3,97.7
