Setting,Year,Billed,% of Year Spend
ambulatory,2020,13865747567,67.26
ambulatory,2021,13899163072,66.35
ambulatory,2022,13920813335,68.60
ambulatory,2023,13992753077,68.45
ambulatory,2024,11472065968,68.23
emergency,2020,880235576,4.27
emergency,2021,861902181,4.11
emergency,2022,878178819,4.33
emergency,2023,881297882,4.31
emergency,2024,727478172,4.33
home,2020,22506017,0.11
home,2021,25391690,0.12
home,2022,27330956,0.13
home,2023,28727357,0.14
home,2024,24369058,0.14
hospice,2020,140663164,0.68
hospice,2021,138445237,0.66
hospice,2022,138095410,0.68
hospice,2023,136331605,0.67
hospice,2024,110262625,0.66
inpatient,2020,1795424734,8.71
inpatient,2021,1695252273,8.09
inpatient,2022,1325232826,6.53
inpatient,2023,1349963866,6.60
inpatient,2024,1101991001,6.55
outpatient,2020,1668870735,8.09
outpatient,2021,2053698692,9.80
outpatient,2022,1704643825,8.40
outpatient,2023,1718774472,8.41
outpatient,2024,1427864130,8.49
snf,2020,304493735,1.48
snf,2021,305369765,1.46
snf,2022,305436577,1.51
snf,2023,311408764,1.52
snf,2024,251682643,1.50
urgentcare,2020,489471232,2.37
urgentcare,2021,501195590,2.39
urgentcare,2022,518334050,2.55
urgentcare,2023,537279473,2.63
urgentcare,2024,455794161,2.71
virtual,2020,33781893,0.16
virtual,2021,41231825,0.20
virtual,2022,38500977,0.19
virtual,2023,39409780,0.19
virtual,2024,31028090,0.18
wellness,2020,1415066190,6.86
wellness,2021,1426526789,6.81
wellness,2022,1434749439,7.07
wellness,2023,1446006716,7.07
wellness,2024,1211057174,7.20
